time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-11-18,1.0,,,,4.497,,,,
2020-11-19,0.0,,,,0.0,,,,
2020-11-20,0.0,,,,0.0,,,,
2020-11-21,0.0,,,,0.0,,,,
2020-11-22,0.0,,,,0.0,,,,
2020-11-23,0.0,0.143,,,0.0,0.642,,,
2020-11-24,0.0,0.143,,,0.0,0.642,,,
2020-11-25,0.0,0.0,,,0.0,0.0,,,
2020-11-26,0.0,0.0,,,0.0,0.0,,,
2020-11-27,1.0,0.143,,,4.497,0.642,,,
2020-11-28,0.0,0.143,,,0.0,0.642,,,
2020-11-29,0.0,0.143,,,0.0,0.642,,,
2020-11-30,0.0,0.143,,,0.0,0.642,,,
2020-12-01,0.0,0.143,,,0.0,0.642,,,
2020-12-02,0.0,0.143,,,0.0,0.642,,,
2020-12-03,0.0,0.143,,,0.0,0.642,,,
2020-12-04,0.0,0.0,,,0.0,0.0,,,
2020-12-05,0.0,0.0,,,0.0,0.0,,,
2020-12-06,0.0,0.0,,,0.0,0.0,,,
2020-12-07,0.0,0.0,,,0.0,0.0,,,
2020-12-08,0.0,0.0,,,0.0,0.0,,,
2020-12-09,0.0,0.0,,,0.0,0.0,,,
2020-12-10,0.0,0.0,,,0.0,0.0,,,
2020-12-11,0.0,0.0,,,0.0,0.0,,,
2020-12-12,0.0,0.0,,,0.0,0.0,,,
2020-12-13,0.0,0.0,,,0.0,0.0,,,
2020-12-14,0.0,0.0,,,0.0,0.0,,,
2020-12-15,0.0,0.0,,,0.0,0.0,,,
2020-12-16,0.0,0.0,,,0.0,0.0,,,
2020-12-17,0.0,0.0,,,0.0,0.0,,,
2020-12-18,0.0,0.0,,,0.0,0.0,,,
2020-12-19,0.0,0.0,,,0.0,0.0,,,
2020-12-20,0.0,0.0,,,0.0,0.0,,,
2020-12-21,0.0,0.0,,,0.0,0.0,,,
2020-12-22,0.0,0.0,,,0.0,0.0,,,
2020-12-23,0.0,0.0,,,0.0,0.0,,,
2020-12-24,0.0,0.0,,,0.0,0.0,,,
2020-12-25,0.0,0.0,,,0.0,0.0,,,
2020-12-26,0.0,0.0,,,0.0,0.0,,,
2020-12-27,0.0,0.0,,,0.0,0.0,,,
2020-12-28,0.0,0.0,,,0.0,0.0,,,
2020-12-29,0.0,0.0,,,0.0,0.0,,,
2020-12-30,0.0,0.0,,,0.0,0.0,,,
2020-12-31,0.0,0.0,,,0.0,0.0,,,
2021-01-01,0.0,0.0,,,0.0,0.0,,,
2021-01-02,0.0,0.0,,,0.0,0.0,,,
2021-01-03,0.0,0.0,,,0.0,0.0,,,
2021-01-04,0.0,0.0,,,0.0,0.0,,,
2021-01-05,0.0,0.0,,,0.0,0.0,,,
2021-01-06,0.0,0.0,,,0.0,0.0,,,
2021-01-07,0.0,0.0,,,0.0,0.0,,,
2021-01-08,0.0,0.0,,,0.0,0.0,,,
2021-01-09,0.0,0.0,,,0.0,0.0,,,
2021-01-10,0.0,0.0,,,0.0,0.0,,,
2021-01-11,0.0,0.0,,,0.0,0.0,,,
2021-01-12,0.0,0.0,,,0.0,0.0,,,
2021-01-13,0.0,0.0,,,0.0,0.0,,,
2021-01-14,0.0,0.0,,,0.0,0.0,,,
2021-01-15,0.0,0.0,,,0.0,0.0,,,
2021-01-16,0.0,0.0,,,0.0,0.0,,,
2021-01-17,0.0,0.0,,,0.0,0.0,,,
2021-01-18,0.0,0.0,,,0.0,0.0,,,
2021-01-19,0.0,0.0,,,0.0,0.0,,,
2021-01-20,0.0,0.0,,,0.0,0.0,,,
2021-01-21,0.0,0.0,,,0.0,0.0,,,
2021-01-22,0.0,0.0,,,0.0,0.0,,,
2021-01-23,0.0,0.0,,,0.0,0.0,,,
2021-01-24,0.0,0.0,,,0.0,0.0,,,
2021-01-25,0.0,0.0,,,0.0,0.0,,,
2021-01-26,0.0,0.0,,,0.0,0.0,,,
2021-01-27,0.0,0.0,,,0.0,0.0,,,
2021-01-28,0.0,0.0,,,0.0,0.0,,,
2021-01-29,0.0,0.0,,,0.0,0.0,,,
2021-01-30,0.0,0.0,,,0.0,0.0,,,
2021-01-31,0.0,0.0,,,0.0,0.0,,,
2021-02-01,0.0,0.0,,,0.0,0.0,,,
2021-02-02,0.0,0.0,,,0.0,0.0,,,
2021-02-03,0.0,0.0,,,0.0,0.0,,,
2021-02-04,0.0,0.0,,,0.0,0.0,,,
2021-02-05,0.0,0.0,,,0.0,0.0,,,
2021-02-06,0.0,0.0,,,0.0,0.0,,,
2021-02-07,0.0,0.0,,,0.0,0.0,,,
2021-02-08,0.0,0.0,,,0.0,0.0,,,
2021-02-09,0.0,0.0,,,0.0,0.0,,,
2021-02-10,0.0,0.0,,,0.0,0.0,,,
2021-02-11,0.0,0.0,,,0.0,0.0,,,
2021-02-12,0.0,0.0,,,0.0,0.0,,,
2021-02-13,0.0,0.0,,,0.0,0.0,,,
2021-02-14,0.0,0.0,,,0.0,0.0,,,
2021-02-15,1.0,0.143,,,4.497,0.642,,,
2021-02-16,0.0,0.143,,,0.0,0.642,,,
2021-02-17,0.0,0.143,,,0.0,0.642,,,
2021-02-18,0.0,0.143,,,0.0,0.642,,,
2021-02-19,0.0,0.143,,,0.0,0.642,,,
2021-02-20,0.0,0.143,,,0.0,0.642,,,
2021-02-21,0.0,0.143,,,0.0,0.642,,,
2021-02-22,0.0,0.0,,,0.0,0.0,,,
2021-02-23,0.0,0.0,,,0.0,0.0,,,
2021-02-24,0.0,0.0,,,0.0,0.0,,,
2021-02-25,0.0,0.0,,,0.0,0.0,,,
2021-02-26,0.0,0.0,,,0.0,0.0,,,
2021-02-27,0.0,0.0,,,0.0,0.0,,,
2021-02-28,0.0,0.0,,,0.0,0.0,,,
2021-03-01,0.0,0.0,,,0.0,0.0,,,
2021-03-02,0.0,0.0,,,0.0,0.0,,,
2021-03-03,0.0,0.0,,,0.0,0.0,,,
2021-03-04,0.0,0.0,,,0.0,0.0,,,
2021-03-05,0.0,0.0,,,0.0,0.0,,,
2021-03-06,0.0,0.0,,,0.0,0.0,,,
2021-03-07,0.0,0.0,,,0.0,0.0,,,
2021-03-08,0.0,0.0,,,0.0,0.0,,,
2021-03-09,0.0,0.0,,,0.0,0.0,,,
2021-03-10,0.0,0.0,,,0.0,0.0,,,
2021-03-11,0.0,0.0,,,0.0,0.0,,,
2021-03-12,0.0,0.0,,,0.0,0.0,,,
2021-03-13,0.0,0.0,,,0.0,0.0,,,
2021-03-14,0.0,0.0,,,0.0,0.0,,,
2021-03-15,0.0,0.0,,,0.0,0.0,,,
2021-03-16,0.0,0.0,,,0.0,0.0,,,
2021-03-17,0.0,0.0,,,0.0,0.0,,,
2021-03-18,0.0,0.0,,,0.0,0.0,,,
2021-03-19,0.0,0.0,,,0.0,0.0,,,
2021-03-20,0.0,0.0,,,0.0,0.0,,,
2021-03-21,0.0,0.0,,,0.0,0.0,,,
2021-03-22,0.0,0.0,,,0.0,0.0,,,
2021-03-23,0.0,0.0,,,0.0,0.0,,,
2021-03-24,0.0,0.0,,,0.0,0.0,,,
2021-03-25,0.0,0.0,,,0.0,0.0,,,
2021-03-26,0.0,0.0,,,0.0,0.0,,,
2021-03-27,0.0,0.0,,,0.0,0.0,,,
2021-03-28,0.0,0.0,,,0.0,0.0,,,
2021-03-29,0.0,0.0,,,0.0,0.0,,,
2021-03-30,0.0,0.0,,,0.0,0.0,,,
2021-03-31,0.0,0.0,,,0.0,0.0,,,
2021-04-01,0.0,0.0,,,0.0,0.0,,,
2021-04-02,0.0,0.0,,,0.0,0.0,,,
2021-04-03,0.0,0.0,,,0.0,0.0,,,
2021-04-04,0.0,0.0,,,0.0,0.0,,,
2021-04-05,0.0,0.0,,,0.0,0.0,,,
2021-04-06,0.0,0.0,,,0.0,0.0,,,
2021-04-07,0.0,0.0,,,0.0,0.0,,,
2021-04-08,0.0,0.0,,,0.0,0.0,,,
2021-04-09,0.0,0.0,,,0.0,0.0,,,
