male,female,total
1510.712,1467.625,2978.337
1510.498,1467.381,2977.879
1340.839,1300.66,2641.499
1128.96,1089.822,2218.782
1228.06,1105.071,2333.131
1663.792,1357.837,3021.629
2020.91,1417.027,3437.937
2209.618,1332.808,3542.426
2293.87,1283.693,3577.563
1861.908,969.318,2831.226
1284.975,606.771,1891.746
898.452,426.374,1324.826
532.166,286.771,818.937
315.257,239.327,554.584
151.011,142.03,293.041
101.58,99.235,200.815
50.137,56.036,106.173
20.619,24.394,45.013
6.603,8.321,14.924
1.254,1.834,3.088
0.087,0.224,0.311
