time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-28,,,,,,,,,0.0
2020-02-29,,,,,,,,,0.0
2020-03-01,,,,,,,,,0.0
2020-03-02,1.0,,,,0.058,,,,0.0
2020-03-03,1.0,,,,0.058,,,,0.0
2020-03-04,2.0,,,,0.115,,,,0.0
2020-03-05,0.0,,,,0.0,,,,0.0
2020-03-06,0.0,,,,0.0,,,,0.0
2020-03-07,0.0,0.571,,,0.0,0.033,,,0.0
2020-03-08,0.0,0.571,,,0.0,0.033,,,0.0
2020-03-09,0.0,0.429,,,0.0,0.025,,,0.0
2020-03-10,0.0,0.286,,,0.0,0.016,,,0.0
2020-03-11,0.0,0.0,,,0.0,0.0,,,0.0
2020-03-12,0.0,0.0,,,0.0,0.0,,,0.0
2020-03-13,6.0,0.857,,,0.346,0.049,,,0.0
2020-03-14,0.0,0.857,,,0.0,0.049,,,27.78
2020-03-15,14.0,2.857,,,0.808,0.165,,,30.56
2020-03-16,0.0,2.857,,,0.0,0.165,,,41.67
2020-03-17,2.0,3.143,,,0.115,0.181,,,41.67
2020-03-18,5.0,3.857,,,0.289,0.223,,,47.22
2020-03-19,0.0,3.857,,,0.0,0.223,,,47.22
2020-03-20,7.0,4.0,,,0.404,0.231,,,50.0
2020-03-21,9.0,5.286,,,0.52,0.305,,,50.0
2020-03-22,20.0,6.143,,,1.155,0.355,,,50.0
2020-03-23,12.0,7.857,,,0.693,0.454,,,66.67
2020-03-24,7.0,8.571,,,0.404,0.495,,,66.67
2020-03-25,13.0,9.714,,,0.751,0.561,,,77.78
2020-03-26,6.0,10.571,,,0.346,0.61,,,77.78
2020-03-27,14.0,11.571,,,0.808,0.668,,,77.78
2020-03-28,11.0,11.857,,,0.635,0.685,,,77.78
2020-03-29,12.0,10.714,,,0.693,0.619,,,77.78
2020-03-30,20.0,11.857,,,1.155,0.685,,,77.78
2020-03-31,13.0,12.714,,,0.751,0.734,,,77.78
2020-04-01,15.0,13.0,1.0,,0.866,0.751,0.058,,77.78
2020-04-02,5.0,12.857,0.0,,0.289,0.742,0.0,,77.78
2020-04-03,12.0,12.571,0.0,,0.693,0.726,0.0,,77.78
2020-04-04,12.0,12.714,1.0,,0.693,0.734,0.058,,77.78
2020-04-05,3.0,11.429,0.0,,0.173,0.66,0.0,,77.78
2020-04-06,4.0,9.143,0.0,0.286,0.231,0.528,0.0,0.016,77.78
2020-04-07,11.0,8.857,0.0,0.286,0.635,0.511,0.0,0.016,77.78
2020-04-08,7.0,7.714,0.0,0.143,0.404,0.445,0.0,0.008,77.78
2020-04-09,6.0,7.857,0.0,0.143,0.346,0.454,0.0,0.008,77.78
2020-04-10,15.0,8.286,0.0,0.143,0.866,0.478,0.0,0.008,77.78
2020-04-11,13.0,8.429,0.0,0.0,0.751,0.487,0.0,0.0,77.78
2020-04-12,2.0,8.286,0.0,0.0,0.115,0.478,0.0,0.0,77.78
2020-04-13,11.0,9.286,0.0,0.0,0.635,0.536,0.0,0.0,77.78
2020-04-14,8.0,8.857,0.0,0.0,0.462,0.511,0.0,0.0,77.78
2020-04-15,15.0,10.0,0.0,0.0,0.866,0.577,0.0,0.0,77.78
2020-04-16,21.0,12.143,0.0,0.0,1.213,0.701,0.0,0.0,77.78
2020-04-17,7.0,11.0,0.0,0.0,0.404,0.635,0.0,0.0,77.78
2020-04-18,8.0,10.286,1.0,0.143,0.462,0.594,0.058,0.008,77.78
2020-04-19,17.0,12.429,0.0,0.143,0.982,0.718,0.0,0.008,77.78
2020-04-20,10.0,12.286,2.0,0.429,0.577,0.709,0.115,0.025,77.78
