time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-31,1.0,,,,0.116,,,,57.41
2020-04-01,1.0,,,,0.116,,,,57.41
2020-04-02,0.0,,,,0.0,,,,57.41
2020-04-03,0.0,,,,0.0,,,,57.41
2020-04-04,2.0,,,,0.232,,,,57.41
2020-04-05,2.0,0.857,,,0.232,0.1,,,88.89
2020-04-06,0.0,0.857,,,0.0,0.1,,,88.89
2020-04-07,0.0,0.714,,,0.0,0.083,,,88.89
2020-04-08,1.0,0.714,,,0.116,0.083,,,75.93
2020-04-09,0.0,0.714,,,0.0,0.083,,,75.93
2020-04-10,1.0,0.857,,,0.116,0.1,,,75.93
2020-04-11,0.0,0.571,,,0.0,0.066,,,75.93
2020-04-12,2.0,0.571,,,0.232,0.066,,,75.93
2020-04-13,0.0,0.571,,,0.0,0.066,,,75.93
2020-04-14,1.0,0.714,,,0.116,0.083,,,75.93
2020-04-15,2.0,0.857,,,0.232,0.1,,,75.93
2020-04-16,2.0,1.143,,,0.232,0.133,,,75.93
2020-04-17,11.0,2.571,,,1.278,0.299,,,75.93
2020-04-18,4.0,3.143,,,0.465,0.365,,,81.48
2020-04-19,5.0,3.571,,,0.581,0.415,,,81.48
2020-04-20,8.0,4.714,,,0.93,0.548,,,81.48
2020-04-21,7.0,5.571,,,0.813,0.647,,,81.48
2020-04-22,11.0,6.857,,,1.278,0.797,,,81.48
2020-04-23,3.0,7.0,1.0,,0.349,0.813,0.116,,81.48
2020-04-24,18.0,8.0,1.0,,2.092,0.93,0.116,,81.48
2020-04-25,0.0,7.429,0.0,,0.0,0.863,0.0,,81.48
2020-04-26,11.0,8.286,2.0,,1.278,0.963,0.232,,77.78
2020-04-27,0.0,7.143,0.0,,0.0,0.83,0.0,,77.78
2020-04-28,11.0,7.714,0.0,0.571,1.278,0.896,0.0,0.066,77.78
2020-04-29,0.0,6.143,0.0,0.571,0.0,0.714,0.0,0.066,77.78
2020-04-30,20.0,8.571,3.0,0.857,2.324,0.996,0.349,0.1,77.78
2020-05-01,12.0,7.714,0.0,0.714,1.394,0.896,0.0,0.083,77.78
2020-05-02,19.0,10.429,1.0,0.857,2.208,1.212,0.116,0.1,77.78
2020-05-03,11.0,10.429,0.0,0.571,1.278,1.212,0.0,0.066,88.89
2020-05-04,12.0,12.143,1.0,0.714,1.394,1.411,0.116,0.083,88.89
2020-05-05,21.0,13.571,2.0,1.0,2.44,1.577,0.232,0.116,88.89
2020-05-06,26.0,17.286,3.0,1.429,3.021,2.009,0.349,0.166,70.37
2020-05-07,6.0,15.286,2.0,1.286,0.697,1.776,0.232,0.149,70.37
2020-05-08,26.0,17.286,1.0,1.429,3.021,2.009,0.116,0.166,70.37
2020-05-09,34.0,19.429,1.0,1.429,3.951,2.258,0.116,0.166,70.37
2020-05-10,16.0,20.143,0.0,1.429,1.859,2.341,0.0,0.166,70.37
2020-05-11,31.0,22.857,1.0,1.429,3.602,2.656,0.116,0.166,70.37
2020-05-12,0.0,19.857,0.0,1.143,0.0,2.307,0.0,0.133,70.37
2020-05-13,49.0,23.143,7.0,1.714,5.694,2.689,0.813,0.199,70.37
2020-05-14,21.0,25.286,0.0,1.429,2.44,2.938,0.0,0.166,70.37
2020-05-15,39.0,27.143,1.0,1.429,4.532,3.154,0.116,0.166,70.37
2020-05-16,15.0,24.429,2.0,1.571,1.743,2.839,0.232,0.183,70.37
2020-05-17,43.0,28.286,3.0,2.0,4.997,3.287,0.349,0.232,70.37
2020-05-18,14.0,25.857,1.0,2.0,1.627,3.005,0.116,0.232,70.37
2020-05-19,15.0,28.0,0.0,2.0,1.743,3.254,0.0,0.232,70.37
2020-05-20,36.0,26.143,1.0,1.143,4.183,3.038,0.116,0.133,70.37
2020-05-21,15.0,25.286,1.0,1.286,1.743,2.938,0.116,0.149,70.37
2020-05-22,21.0,22.714,3.0,1.571,2.44,2.639,0.349,0.183,70.37
2020-05-23,15.0,22.714,1.0,1.429,1.743,2.639,0.116,0.166,70.37
2020-05-24,86.0,28.857,1.0,1.143,9.993,3.353,0.116,0.133,70.37
2020-05-25,28.0,30.857,2.0,1.286,3.254,3.586,0.232,0.149,70.37
2020-05-26,19.0,31.429,2.0,1.571,2.208,3.652,0.232,0.183,70.37
2020-05-27,28.0,30.286,1.0,1.571,3.254,3.519,0.116,0.183,70.37
2020-05-28,30.0,32.429,0.0,1.429,3.486,3.768,0.0,0.166,70.37
2020-05-29,17.0,31.857,0.0,1.0,1.975,3.702,0.0,0.116,70.37
2020-05-30,23.0,33.0,1.0,1.0,2.673,3.835,0.116,0.116,70.37
2020-05-31,9.0,22.0,0.0,0.857,1.046,2.556,0.0,0.1,70.37
2020-06-01,4.0,18.571,0.0,0.571,0.465,2.158,0.0,0.066,70.37
2020-06-02,31.0,20.286,0.0,0.286,3.602,2.357,0.0,0.033,70.37
2020-06-03,13.0,18.143,1.0,0.286,1.511,2.108,0.116,0.033,70.37
2020-06-04,5.0,14.571,0.0,0.286,0.581,1.693,0.0,0.033,70.37
2020-06-05,15.0,14.286,0.0,0.286,1.743,1.66,0.0,0.033,70.37
2020-06-06,17.0,13.429,1.0,0.286,1.975,1.56,0.116,0.033,70.37
2020-06-07,23.0,15.429,0.0,0.286,2.673,1.793,0.0,0.033,70.37
2020-06-08,32.0,19.429,1.0,0.429,3.718,2.258,0.116,0.05,53.7
2020-06-09,24.0,18.429,1.0,0.571,2.789,2.141,0.116,0.066,53.7
2020-06-10,37.0,21.857,0.0,0.429,4.299,2.54,0.0,0.05,53.7
2020-06-11,23.0,24.429,0.0,0.429,2.673,2.839,0.0,0.05,53.7
2020-06-12,18.0,24.857,1.0,0.571,2.092,2.888,0.116,0.066,53.7
2020-06-13,29.0,26.571,0.0,0.429,3.37,3.088,0.0,0.05,53.7
2020-06-14,37.0,28.571,0.0,0.429,4.299,3.32,0.0,0.05,53.7
2020-06-15,7.0,25.0,0.0,0.286,0.813,2.905,0.0,0.033,53.7
2020-06-16,49.0,28.571,0.0,0.143,5.694,3.32,0.0,0.017,53.7
2020-06-17,24.0,26.714,0.0,0.143,2.789,3.104,0.0,0.017,53.7
2020-06-18,23.0,26.714,0.0,0.143,2.673,3.104,0.0,0.017,53.7
2020-06-19,26.0,27.857,2.0,0.286,3.021,3.237,0.232,0.033,53.7
2020-06-20,11.0,25.286,0.0,0.286,1.278,2.938,0.0,0.033,53.7
2020-06-21,18.0,22.571,2.0,0.571,2.092,2.623,0.232,0.066,53.7
2020-06-22,13.0,23.429,0.0,0.571,1.511,2.722,0.0,0.066,53.7
2020-06-23,7.0,17.429,0.0,0.571,0.813,2.025,0.0,0.066,53.7
2020-06-24,7.0,15.0,0.0,0.571,0.813,1.743,0.0,0.066,53.7
2020-06-25,0.0,11.714,1.0,0.714,0.0,1.361,0.116,0.083,53.7
2020-06-26,40.0,13.714,3.0,0.857,4.648,1.594,0.349,0.1,53.7
2020-06-27,16.0,14.429,0.0,0.857,1.859,1.677,0.0,0.1,53.7
2020-06-28,17.0,14.286,1.0,0.714,1.975,1.66,0.116,0.083,53.7
2020-06-29,23.0,15.714,0.0,0.714,2.673,1.826,0.0,0.083,53.7
2020-06-30,12.0,16.429,0.0,0.714,1.394,1.909,0.0,0.083,53.7
2020-07-01,36.0,20.571,0.0,0.714,4.183,2.39,0.0,0.083,50.0
2020-07-02,20.0,23.429,0.0,0.571,2.324,2.722,0.0,0.066,50.0
2020-07-03,6.0,18.571,2.0,0.429,0.697,2.158,0.232,0.05,46.3
2020-07-04,9.0,17.571,0.0,0.429,1.046,2.042,0.0,0.05,46.3
2020-07-05,9.0,16.429,0.0,0.286,1.046,1.909,0.0,0.033,46.3
2020-07-06,5.0,13.857,0.0,0.286,0.581,1.61,0.0,0.033,46.3
2020-07-07,25.0,15.714,1.0,0.429,2.905,1.826,0.116,0.05,46.3
2020-07-08,12.0,12.286,0.0,0.429,1.394,1.428,0.0,0.05,46.3
2020-07-09,14.0,11.429,0.0,0.429,1.627,1.328,0.0,0.05,46.3
2020-07-10,15.0,12.714,0.0,0.143,1.743,1.477,0.0,0.017,46.3
2020-07-11,5.0,12.143,0.0,0.143,0.581,1.411,0.0,0.017,46.3
2020-07-12,17.0,13.286,0.0,0.143,1.975,1.544,0.0,0.017,46.3
2020-07-13,7.0,13.571,0.0,0.143,0.813,1.577,0.0,0.017,40.74
2020-07-14,9.0,11.286,1.0,0.143,1.046,1.311,0.116,0.017,40.74
2020-07-15,17.0,12.0,0.0,0.143,1.975,1.394,0.0,0.017,40.74
2020-07-16,10.0,11.429,0.0,0.143,1.162,1.328,0.0,0.017,40.74
2020-07-17,10.0,10.714,1.0,0.286,1.162,1.245,0.116,0.033,40.74
2020-07-18,13.0,11.857,0.0,0.286,1.511,1.378,0.0,0.033,40.74
2020-07-19,10.0,10.857,0.0,0.286,1.162,1.262,0.0,0.033,40.74
2020-07-20,0.0,9.857,1.0,0.429,0.0,1.145,0.116,0.05,40.74
2020-07-21,16.0,10.857,0.0,0.286,1.859,1.262,0.0,0.033,40.74
2020-07-22,4.0,9.0,0.0,0.286,0.465,1.046,0.0,0.033,32.41
2020-07-23,21.0,10.571,0.0,0.286,2.44,1.228,0.0,0.033,32.41
2020-07-24,13.0,11.0,0.0,0.143,1.511,1.278,0.0,0.017,32.41
2020-07-25,3.0,9.571,0.0,0.143,0.349,1.112,0.0,0.017,32.41
2020-07-26,15.0,10.286,0.0,0.143,1.743,1.195,0.0,0.017,32.41
2020-07-27,0.0,10.286,0.0,0.0,0.0,1.195,0.0,0.0,32.41
2020-07-28,3.0,8.429,0.0,0.0,0.349,0.979,0.0,0.0,32.41
