time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-06,1.0,,,,0.177,,,,16.67
2020-03-07,0.0,,,,0.0,,,,16.67
2020-03-08,2.0,,,,0.354,,,,16.67
2020-03-09,2.0,,,,0.354,,,,22.22
2020-03-10,2.0,,,,0.354,,,,33.33
2020-03-11,0.0,1.0,,,0.0,0.177,,,33.33
2020-03-12,3.0,1.429,,,0.532,0.253,,,45.37
2020-03-13,11.0,2.857,,,1.949,0.506,,,58.33
2020-03-14,11.0,4.429,,,1.949,0.785,,,63.89
2020-03-15,12.0,5.857,,,2.126,1.038,,,63.89
2020-03-16,17.0,8.0,,,3.012,1.418,,,75.0
2020-03-17,11.0,9.286,,,1.949,1.645,,,75.0
2020-03-18,24.0,12.714,,,4.253,2.253,,,75.0
2020-03-19,8.0,13.429,,,1.418,2.379,,,75.0
2020-03-20,19.0,14.571,,,3.367,2.582,,,75.0
2020-03-21,14.0,15.0,,,2.481,2.658,,,75.0
2020-03-22,41.0,19.143,,,7.265,3.392,,,75.0
2020-03-23,7.0,17.714,,,1.24,3.139,,,75.0
2020-03-24,19.0,18.857,,,3.367,3.341,,,75.0
2020-03-25,12.0,17.143,,,2.126,3.038,,,75.0
2020-03-26,10.0,17.429,,,1.772,3.088,,,75.0
2020-03-27,43.0,20.857,,,7.619,3.696,,,75.0
2020-03-28,23.0,22.143,,,4.076,3.924,,,75.0
2020-03-29,22.0,19.429,,,3.898,3.443,,,75.0
2020-03-30,22.0,21.571,,,3.898,3.822,,,75.0
2020-03-31,27.0,22.714,,,4.784,4.025,,,75.0
2020-04-01,37.0,26.286,1.0,,6.556,4.658,0.177,,75.0
2020-04-02,26.0,28.571,0.0,,4.607,5.063,0.0,,75.0
2020-04-03,24.0,25.857,0.0,,4.253,4.582,0.0,,75.0
2020-04-04,21.0,25.571,0.0,,3.721,4.531,0.0,,75.0
2020-04-05,14.0,24.429,0.0,,2.481,4.329,0.0,,75.0
2020-04-06,49.0,28.286,1.0,0.286,8.683,5.012,0.177,0.051,75.0
2020-04-07,47.0,31.143,0.0,0.286,8.328,5.518,0.0,0.051,75.0
2020-04-08,101.0,40.286,0.0,0.143,17.897,7.138,0.0,0.025,87.04
2020-04-09,19.0,39.286,0.0,0.143,3.367,6.961,0.0,0.025,87.04
2020-04-10,14.0,37.857,0.0,0.143,2.481,6.708,0.0,0.025,87.04
2020-04-11,13.0,36.714,0.0,0.143,2.304,6.506,0.0,0.025,87.04
2020-04-12,14.0,36.714,0.0,0.143,2.481,6.506,0.0,0.025,87.04
