time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-16,1.0,,,,0.057,,,,8.33
2020-03-17,0.0,,,,0.0,,,,8.33
2020-03-18,0.0,,,,0.0,,,,11.11
2020-03-19,0.0,,,,0.0,,,,41.67
2020-03-20,0.0,,,,0.0,,,,41.67
2020-03-21,0.0,0.143,,,0.0,0.008,,,52.78
2020-03-22,0.0,0.143,,,0.0,0.008,,,52.78
2020-03-23,0.0,0.0,,,0.0,0.0,,,52.78
2020-03-24,0.0,0.0,,,0.0,0.0,,,52.78
2020-03-25,0.0,0.0,,,0.0,0.0,,,52.78
2020-03-26,1.0,0.143,,,0.057,0.008,,,52.78
2020-03-27,1.0,0.286,,,0.057,0.016,,,52.78
2020-03-28,0.0,0.286,,,0.0,0.016,,,52.78
2020-03-29,0.0,0.286,,,0.0,0.016,,,52.78
2020-03-30,0.0,0.286,,,0.0,0.016,,,52.78
2020-03-31,2.0,0.571,,,0.114,0.032,,,52.78
2020-04-01,0.0,0.571,,,0.0,0.032,,,52.78
2020-04-02,0.0,0.429,,,0.0,0.024,,,52.78
2020-04-03,2.0,0.571,,,0.114,0.032,,,52.78
2020-04-04,0.0,0.571,,,0.0,0.032,,,52.78
2020-04-05,0.0,0.571,,,0.0,0.032,,,52.78
2020-04-06,0.0,0.571,,,0.0,0.032,,,52.78
2020-04-07,1.0,0.429,,,0.057,0.024,,,52.78
2020-04-08,4.0,1.0,1.0,,0.227,0.057,0.057,,52.78
2020-04-09,0.0,1.0,0.0,,0.0,0.057,0.0,,52.78
2020-04-10,9.0,2.0,0.0,,0.511,0.114,0.0,,52.78
2020-04-11,0.0,2.0,0.0,,0.0,0.114,0.0,,63.89
2020-04-12,4.0,2.571,0.0,,0.227,0.146,0.0,,63.89
2020-04-13,35.0,7.571,1.0,0.286,1.989,0.43,0.057,0.016,63.89
2020-04-14,0.0,7.429,0.0,0.286,0.0,0.422,0.0,0.016,63.89
2020-04-15,20.0,9.714,3.0,0.571,1.137,0.552,0.17,0.032,63.89
2020-04-16,0.0,9.714,0.0,0.571,0.0,0.552,0.0,0.032,63.89
2020-04-17,36.0,13.571,1.0,0.714,2.046,0.771,0.057,0.041,63.89
2020-04-18,19.0,16.286,1.0,0.857,1.08,0.925,0.057,0.049,63.89
2020-04-19,29.0,19.857,0.0,0.857,1.648,1.128,0.0,0.049,63.89
2020-04-20,73.0,25.286,1.0,0.857,4.148,1.437,0.057,0.049,63.89
2020-04-21,49.0,32.286,0.0,0.857,2.784,1.835,0.0,0.049,63.89
2020-04-22,0.0,29.429,0.0,0.429,0.0,1.672,0.0,0.024,63.89
2020-04-23,42.0,35.429,8.0,1.571,2.387,2.013,0.455,0.089,63.89
2020-04-24,0.0,30.286,0.0,1.429,0.0,1.721,0.0,0.081,63.89
2020-04-25,62.0,36.429,2.0,1.571,3.523,2.07,0.114,0.089,63.89
2020-04-26,46.0,38.857,5.0,2.286,2.614,2.208,0.284,0.13,63.89
2020-04-27,44.0,34.714,3.0,2.571,2.5,1.973,0.17,0.146,63.89
2020-04-28,48.0,34.571,2.0,2.857,2.728,1.965,0.114,0.162,63.89
2020-04-29,54.0,42.286,0.0,2.857,3.069,2.403,0.0,0.162,63.89
2020-04-30,19.0,39.0,0.0,1.714,1.08,2.216,0.0,0.097,63.89
2020-05-01,0.0,39.0,0.0,1.714,0.0,2.216,0.0,0.097,63.89
2020-05-02,70.0,40.143,3.0,1.857,3.978,2.281,0.17,0.106,63.89
2020-05-03,51.0,40.857,1.0,1.286,2.898,2.322,0.057,0.073,63.89
2020-05-04,34.0,39.429,3.0,1.286,1.932,2.241,0.17,0.073,63.89
