time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-07,,,,,,,,,2.78
2020-02-08,,,,,,,,,2.78
2020-02-09,,,,,,,,,2.78
2020-02-10,,,,,,,,,2.78
2020-02-11,,,,,,,,,2.78
2020-02-12,,,,,,,,,2.78
2020-02-13,,,,,,,,,2.78
2020-02-14,,,,,,,,,2.78
2020-02-15,,,,,,,,,2.78
2020-02-16,,,,,,,,,2.78
2020-02-17,,,,,,,,,2.78
2020-02-18,,,,,,,,,2.78
2020-02-19,,,,,,,,,2.78
2020-02-20,,,,,,,,,2.78
2020-02-21,,,,,,,,,2.78
2020-02-22,,,,,,,,,2.78
2020-02-23,,,,,,,,,2.78
2020-02-24,,,,,,,,,2.78
2020-02-25,,,,,,,,,2.78
2020-02-26,,,,,,,,,2.78
2020-02-27,,,,,,,,,2.78
2020-02-28,,,,,,,,,2.78
2020-02-29,,,,,,,,,2.78
2020-03-01,,,,,,,,,2.78
2020-03-02,,,,,,,,,2.78
2020-03-03,,,,,,,,,2.78
2020-03-04,,,,,,,,,2.78
2020-03-05,1.0,,,,0.017,,,,13.89
2020-03-06,0.0,,,,0.0,,,,13.89
2020-03-07,0.0,,,,0.0,,,,13.89
2020-03-08,2.0,,,,0.033,,,,13.89
2020-03-09,0.0,,,,0.0,,,,13.89
2020-03-10,4.0,1.0,,,0.067,0.017,,,13.89
2020-03-11,6.0,1.857,,,0.1,0.031,,,13.89
2020-03-12,4.0,2.286,,,0.067,0.038,,,13.89
2020-03-13,7.0,3.286,,,0.117,0.055,,,13.89
2020-03-14,14.0,5.286,,,0.234,0.088,,,13.89
2020-03-15,13.0,6.857,,,0.217,0.114,,,19.44
2020-03-16,11.0,8.429,,,0.184,0.141,,,38.89
2020-03-17,0.0,7.857,,,0.0,0.131,,,38.89
2020-03-18,54.0,14.714,,,0.902,0.246,,,55.56
