time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-04-05,1.0,,,,0.092,,,,73.15
2020-04-06,0.0,,,,0.0,,,,73.15
2020-04-07,1.0,,,,0.092,,,,73.15
2020-04-08,0.0,,,,0.0,,,,73.15
2020-04-09,1.0,,,,0.092,,,,73.15
2020-04-10,1.0,0.571,,,0.092,0.052,,,73.15
2020-04-11,0.0,0.571,,,0.0,0.052,,,73.15
2020-04-12,0.0,0.429,,,0.0,0.039,,,84.26
2020-04-13,0.0,0.429,,,0.0,0.039,,,84.26
2020-04-14,0.0,0.286,,,0.0,0.026,,,84.26
2020-04-15,0.0,0.286,,,0.0,0.026,,,84.26
2020-04-16,0.0,0.143,,,0.0,0.013,,,84.26
2020-04-17,0.0,0.0,,,0.0,0.0,,,84.26
2020-04-18,0.0,0.0,,,0.0,0.0,,,86.11
2020-04-19,0.0,0.0,,,0.0,0.0,,,86.11
2020-04-20,0.0,0.0,,,0.0,0.0,,,86.11
2020-04-21,0.0,0.0,,,0.0,0.0,,,86.11
2020-04-22,0.0,0.0,,,0.0,0.0,,,86.11
2020-04-23,1.0,0.143,,,0.092,0.013,,,86.11
2020-04-24,0.0,0.143,,,0.0,0.013,,,86.11
2020-04-25,0.0,0.143,,,0.0,0.013,,,86.11
2020-04-26,1.0,0.286,,,0.092,0.026,,,86.11
2020-04-27,0.0,0.286,,,0.0,0.026,,,86.11
2020-04-28,28.0,4.286,,,2.566,0.393,,,86.11
2020-04-29,0.0,4.286,,,0.0,0.393,,,86.11
2020-04-30,1.0,4.286,,,0.092,0.393,,,86.11
2020-05-01,10.0,5.714,,,0.916,0.524,,,86.11
2020-05-02,0.0,5.714,,,0.0,0.524,,,86.11
2020-05-03,1.0,5.714,,,0.092,0.524,,,86.11
2020-05-04,0.0,5.714,,,0.0,0.524,,,86.11
2020-05-05,6.0,2.571,,,0.55,0.236,,,86.11
2020-05-06,6.0,3.429,,,0.55,0.314,,,86.11
2020-05-07,16.0,5.571,,,1.466,0.511,,,82.41
2020-05-08,46.0,10.714,,,4.215,0.982,,,78.7
2020-05-09,0.0,10.714,,,0.0,0.982,,,78.7
2020-05-10,0.0,10.571,,,0.0,0.969,,,78.7
2020-05-11,36.0,15.714,,,3.299,1.44,,,78.7
2020-05-12,38.0,20.286,,,3.482,1.859,,,73.15
2020-05-13,9.0,20.714,,,0.825,1.898,,,73.15
2020-05-14,0.0,18.429,,,0.0,1.689,,,73.15
2020-05-15,33.0,16.571,4.0,,3.024,1.518,0.367,,73.15
2020-05-16,0.0,16.571,0.0,,0.0,1.518,0.0,,73.15
2020-05-17,54.0,24.286,0.0,,4.948,2.225,0.0,,73.15
2020-05-18,0.0,19.143,0.0,,0.0,1.754,0.0,,73.15
2020-05-19,0.0,13.714,0.0,,0.0,1.257,0.0,,73.15
2020-05-20,0.0,12.429,0.0,0.571,0.0,1.139,0.0,0.052,73.15
2020-05-21,191.0,39.714,0.0,0.571,17.502,3.639,0.0,0.052,73.15
2020-05-22,82.0,46.714,2.0,0.286,7.514,4.281,0.183,0.026,73.15
2020-05-23,92.0,59.857,2.0,0.571,8.43,5.485,0.183,0.052,73.15
2020-05-24,0.0,52.143,0.0,0.571,0.0,4.778,0.0,0.052,73.15
2020-05-25,151.0,73.714,0.0,0.571,13.836,6.755,0.0,0.052,73.15
2020-05-26,0.0,73.714,0.0,0.571,0.0,6.755,0.0,0.052,73.15
