time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-27,1.0,,,,0.046,,,,2.78
2020-01-28,0.0,,,,0.0,,,,8.33
2020-01-29,0.0,,,,0.0,,,,8.33
2020-01-30,0.0,,,,0.0,,,,8.33
2020-01-31,0.0,,,,0.0,,,,8.33
2020-02-01,0.0,0.143,,,0.0,0.007,,,8.33
2020-02-02,0.0,0.143,,,0.0,0.007,,,8.33
2020-02-03,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-04,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-05,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-06,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-07,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-08,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-09,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-10,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-11,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-12,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-13,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-14,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-15,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-16,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-17,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-18,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-19,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-20,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-21,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-22,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-23,0.0,0.0,,,0.0,0.0,,,8.33
2020-02-24,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-25,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-26,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-27,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-28,0.0,0.0,,,0.0,0.0,,,11.11
2020-02-29,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-01,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-02,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-03,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-04,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-05,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-06,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-07,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-08,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-09,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-10,0.0,0.0,,,0.0,0.0,,,11.11
2020-03-11,1.0,0.143,,,0.046,0.007,,,11.11
2020-03-12,0.0,0.143,,,0.0,0.007,,,11.11
2020-03-13,4.0,0.714,,,0.183,0.033,,,18.52
2020-03-14,4.0,1.286,,,0.183,0.059,,,49.07
2020-03-15,8.0,2.429,,,0.366,0.111,,,49.07
