male,female,total
844.332,816.078,1660.41
856.054,833.571,1689.625
864.563,857.098,1721.661
830.615,833.944,1664.559
742.888,752.763,1495.651
674.562,731.644,1406.206
623.281,729.105,1352.386
681.648,785.987,1467.635
730.689,793.746,1524.435
659.699,696.971,1356.67
639.901,677.375,1317.276
589.177,648.365,1237.542
513.111,600.761,1113.872
405.408,493.916,899.324
312.254,415.177,727.431
164.667,254.239,418.906
77.654,130.456,208.11
38.529,67.932,106.461
14.65,23.243,37.893
3.286,3.336,6.622
0.383,0.192,0.575
