time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-13,,,1.0,,,,0.021,,11.11
2020-03-14,1.0,,0.0,,0.021,,0.0,,45.37
2020-03-15,0.0,,0.0,,0.0,,0.0,,45.37
2020-03-16,0.0,,0.0,,0.0,,0.0,,56.48
2020-03-17,0.0,,0.0,,0.0,,0.0,,56.48
2020-03-18,0.0,,0.0,0.143,0.0,,0.0,0.003,56.48
2020-03-19,0.0,0.143,0.0,0.143,0.0,0.003,0.0,0.003,56.48
2020-03-20,0.0,0.143,0.0,0.0,0.0,0.003,0.0,0.0,56.48
2020-03-21,1.0,0.143,0.0,0.0,0.021,0.003,0.0,0.0,56.48
2020-03-22,0.0,0.143,0.0,0.0,0.0,0.003,0.0,0.0,56.48
2020-03-23,0.0,0.143,0.0,0.0,0.0,0.003,0.0,0.0,65.74
2020-03-24,1.0,0.286,0.0,0.0,0.021,0.006,0.0,0.0,65.74
2020-03-25,0.0,0.286,0.0,0.0,0.0,0.006,0.0,0.0,65.74
2020-03-26,0.0,0.286,0.0,0.0,0.0,0.006,0.0,0.0,76.85
2020-03-27,0.0,0.286,0.0,0.0,0.0,0.006,0.0,0.0,76.85
2020-03-28,2.0,0.429,0.0,0.0,0.043,0.009,0.0,0.0,76.85
2020-03-29,0.0,0.429,0.0,0.0,0.0,0.009,0.0,0.0,76.85
2020-03-30,1.0,0.571,1.0,0.143,0.021,0.012,0.021,0.003,76.85
2020-03-31,1.0,0.571,0.0,0.143,0.021,0.012,0.0,0.003,76.85
2020-04-01,0.0,0.571,0.0,0.143,0.0,0.012,0.0,0.003,76.85
2020-04-02,0.0,0.571,0.0,0.143,0.0,0.012,0.0,0.003,76.85
2020-04-03,3.0,1.0,0.0,0.143,0.064,0.021,0.0,0.003,76.85
2020-04-04,0.0,0.714,0.0,0.143,0.0,0.015,0.0,0.003,76.85
2020-04-05,2.0,1.0,0.0,0.143,0.043,0.021,0.0,0.003,76.85
2020-04-06,0.0,0.857,0.0,0.0,0.0,0.018,0.0,0.0,76.85
2020-04-07,2.0,1.0,0.0,0.0,0.043,0.021,0.0,0.0,76.85
2020-04-08,0.0,1.0,0.0,0.0,0.0,0.021,0.0,0.0,76.85
2020-04-09,0.0,1.0,0.0,0.0,0.0,0.021,0.0,0.0,76.85
2020-04-10,1.0,0.714,0.0,0.0,0.021,0.015,0.0,0.0,76.85
2020-04-11,4.0,1.286,0.0,0.0,0.085,0.027,0.0,0.0,76.85
2020-04-12,0.0,1.0,0.0,0.0,0.0,0.021,0.0,0.0,76.85
2020-04-13,0.0,1.0,2.0,0.286,0.0,0.021,0.043,0.006,79.63
2020-04-14,10.0,2.143,1.0,0.429,0.213,0.046,0.021,0.009,79.63
2020-04-15,3.0,2.571,0.0,0.429,0.064,0.055,0.0,0.009,79.63
2020-04-16,0.0,2.571,0.0,0.429,0.0,0.055,0.0,0.009,79.63
2020-04-17,0.0,2.429,1.0,0.571,0.0,0.052,0.021,0.012,79.63
2020-04-18,34.0,6.714,4.0,1.143,0.725,0.143,0.085,0.024,87.04
2020-04-19,0.0,6.714,0.0,1.143,0.0,0.143,0.0,0.024,87.04
2020-04-20,26.0,10.429,2.0,1.143,0.555,0.222,0.043,0.024,87.04
2020-04-21,15.0,11.143,0.0,1.0,0.32,0.238,0.0,0.021,87.04
2020-04-22,33.0,15.429,1.0,1.143,0.704,0.329,0.021,0.024,87.04
2020-04-23,22.0,18.571,3.0,1.571,0.469,0.396,0.064,0.034,87.04
2020-04-24,12.0,20.286,0.0,1.429,0.256,0.433,0.0,0.03,87.04
2020-04-25,39.0,21.0,1.0,1.0,0.832,0.448,0.021,0.021,87.04
2020-04-26,24.0,24.429,4.0,1.571,0.512,0.521,0.085,0.034,87.04
2020-04-27,38.0,26.143,1.0,1.429,0.811,0.558,0.021,0.03,87.04
2020-04-28,43.0,30.143,3.0,1.857,0.917,0.643,0.064,0.04,87.04
2020-04-29,57.0,33.571,3.0,2.143,1.216,0.716,0.064,0.046,87.04
2020-04-30,0.0,30.429,3.0,2.143,0.0,0.649,0.064,0.046,87.04
2020-05-01,67.0,38.286,5.0,2.857,1.429,0.817,0.107,0.061,87.04
2020-05-02,91.0,45.714,5.0,3.429,1.941,0.975,0.107,0.073,87.04
2020-05-03,59.0,50.714,0.0,2.857,1.259,1.082,0.0,0.061,87.04
2020-05-04,86.0,57.571,0.0,2.714,1.835,1.228,0.0,0.058,87.04
2020-05-05,100.0,65.714,4.0,2.857,2.133,1.402,0.085,0.061,87.04
2020-05-06,74.0,68.143,4.0,3.0,1.579,1.454,0.085,0.064,87.04
2020-05-07,78.0,79.286,3.0,3.0,1.664,1.691,0.064,0.064,87.04
2020-05-08,0.0,69.714,7.0,3.286,0.0,1.487,0.149,0.07,84.26
2020-05-09,181.0,82.571,5.0,3.286,3.861,1.762,0.107,0.07,84.26
2020-05-10,53.0,81.714,6.0,4.143,1.131,1.743,0.128,0.088,84.26
2020-05-11,201.0,98.143,4.0,4.714,4.288,2.094,0.085,0.101,84.26
2020-05-12,161.0,106.857,6.0,5.0,3.435,2.28,0.128,0.107,84.26
2020-05-13,134.0,115.429,10.0,5.857,2.859,2.463,0.213,0.125,84.26
2020-05-14,158.0,126.857,0.0,5.429,3.371,2.706,0.0,0.116,84.26
2020-05-15,146.0,147.714,1.0,4.571,3.115,3.151,0.021,0.098,84.26
2020-05-16,0.0,121.857,6.0,4.714,0.0,2.6,0.128,0.101,84.26
2020-05-17,325.0,160.714,0.0,3.857,6.933,3.429,0.0,0.082,84.26
2020-05-18,302.0,175.143,8.0,4.429,6.443,3.736,0.171,0.094,84.26
2020-05-19,0.0,152.143,6.0,4.429,0.0,3.246,0.128,0.094,84.26
2020-05-20,137.0,152.571,0.0,3.0,2.923,3.255,0.0,0.064,84.26
2020-05-21,410.0,188.571,10.0,4.429,8.747,4.023,0.213,0.094,84.26
2020-05-22,0.0,167.714,16.0,6.571,0.0,3.578,0.341,0.14,84.26
2020-05-23,240.0,202.0,9.0,7.0,5.12,4.309,0.192,0.149,84.26
2020-05-24,256.0,192.143,19.0,9.714,5.461,4.099,0.405,0.207,84.26
2020-05-25,192.0,176.429,5.0,9.286,4.096,3.764,0.107,0.198,84.26
2020-05-26,150.0,197.857,0.0,8.429,3.2,4.221,0.0,0.18,84.26
2020-05-27,170.0,202.571,25.0,12.0,3.627,4.322,0.533,0.256,84.26
