time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-14,1.0,,,,1.618,,,,33.33
2020-03-15,0.0,,,,0.0,,,,33.33
2020-03-16,0.0,,,,0.0,,,,52.78
2020-03-17,0.0,,,,0.0,,,,52.78
2020-03-18,0.0,,,,0.0,,,,52.78
2020-03-19,0.0,0.143,,,0.0,0.231,,,52.78
2020-03-20,3.0,0.571,,,4.854,0.925,,,52.78
2020-03-21,0.0,0.429,,,0.0,0.693,,,52.78
2020-03-22,1.0,0.571,,,1.618,0.925,,,52.78
2020-03-23,0.0,0.571,,,0.0,0.925,,,52.78
2020-03-24,2.0,0.857,,,3.236,1.387,,,52.78
2020-03-25,1.0,1.0,,,1.618,1.618,,,52.78
2020-03-26,0.0,1.0,,,0.0,1.618,,,52.78
2020-03-27,0.0,0.571,,,0.0,0.925,,,52.78
2020-03-28,0.0,0.571,,,0.0,0.925,,,71.3
2020-03-29,0.0,0.429,,,0.0,0.693,,,71.3
2020-03-30,0.0,0.429,,,0.0,0.693,,,71.3
2020-03-31,1.0,0.286,,,1.618,0.462,,,71.3
2020-04-01,1.0,0.286,,,1.618,0.462,,,71.3
2020-04-02,0.0,0.286,,,0.0,0.462,,,71.3
2020-04-03,0.0,0.286,1.0,,0.0,0.462,1.618,,71.3
2020-04-04,0.0,0.286,0.0,,0.0,0.462,0.0,,71.3
2020-04-05,0.0,0.286,0.0,,0.0,0.462,0.0,,71.3
2020-04-06,0.0,0.286,0.0,,0.0,0.462,0.0,,82.41
2020-04-07,0.0,0.143,0.0,,0.0,0.231,0.0,,82.41
2020-04-08,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.231,82.41
2020-04-09,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.231,82.41
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.41
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.41
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.41
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.41
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.41
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.41
