time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-04,,,,,,,,,
2020-01-05,,,,,,,,,
2020-01-06,,,,,,,,,
2020-01-07,,,,,,,,,
2020-01-08,,,,,,,,,
2020-01-09,,,,,,,,,
2020-01-10,,,,,,,,,
2020-01-11,,,,,,,,,
2020-01-12,,,,,,,,,
2020-01-13,,,,,,,,,
2020-01-14,,,,,,,,,
2020-01-15,,,,,,,,,
2020-01-16,,,,,,,,,
2020-01-17,,,,,,,,,
2020-01-18,,,,,,,,,
2020-01-19,,,,,,,,,
2020-01-20,,,,,,,,,
2020-01-21,,,,,,,,,
2020-01-22,,,,,,,,,0.0
2020-01-23,0.0,,,,0.0,,,,0.0
2020-01-24,1.0,,,,0.014,,,,0.0
2020-01-25,1.0,,,,0.014,,,,0.0
2020-01-26,2.0,,,,0.028,,,,0.0
2020-01-27,0.0,,,,0.0,,,,0.0
2020-01-28,6.0,1.429,,,0.084,0.02,,,0.0
2020-01-29,0.0,1.429,,,0.0,0.02,,,0.0
2020-01-30,0.0,1.429,,,0.0,0.02,,,0.0
2020-01-31,5.0,2.0,,,0.07,0.028,,,0.0
2020-02-01,0.0,1.857,,,0.0,0.026,,,0.0
2020-02-02,0.0,1.571,,,0.0,0.022,,,0.0
2020-02-03,0.0,1.571,,,0.0,0.022,,,0.0
2020-02-04,6.0,1.571,,,0.084,0.022,,,0.0
2020-02-05,0.0,1.571,,,0.0,0.022,,,0.0
2020-02-06,0.0,1.571,,,0.0,0.022,,,0.0
2020-02-07,0.0,0.857,,,0.0,0.012,,,0.0
2020-02-08,7.0,1.857,,,0.098,0.026,,,0.0
2020-02-09,0.0,1.857,,,0.0,0.026,,,0.0
2020-02-10,0.0,1.857,,,0.0,0.026,,,0.0
2020-02-11,1.0,1.143,,,0.014,0.016,,,0.0
2020-02-12,0.0,1.143,,,0.0,0.016,,,0.0
2020-02-13,0.0,1.143,,,0.0,0.016,,,0.0
2020-02-14,0.0,1.143,,,0.0,0.016,,,0.0
2020-02-15,1.0,0.286,,,0.014,0.004,,,0.0
2020-02-16,0.0,0.286,,,0.0,0.004,,,0.0
2020-02-17,1.0,0.429,,,0.014,0.006,,,0.0
2020-02-18,0.0,0.286,,,0.0,0.004,,,0.0
2020-02-19,0.0,0.286,,,0.0,0.004,,,0.0
2020-02-20,0.0,0.286,,,0.0,0.004,,,0.0
2020-02-21,0.0,0.286,,,0.0,0.004,,,0.0
2020-02-22,0.0,0.143,,,0.0,0.002,,,0.0
2020-02-23,0.0,0.143,,,0.0,0.002,,,0.0
2020-02-24,0.0,0.0,,,0.0,0.0,,,0.0
2020-02-25,2.0,0.286,,,0.028,0.004,,,0.0
2020-02-26,3.0,0.714,,,0.042,0.01,,,0.0
2020-02-27,0.0,0.714,,,0.0,0.01,,,0.0
2020-02-28,1.0,0.857,,,0.014,0.012,,,0.0
2020-02-29,1.0,1.0,,,0.014,0.014,,,0.0
2020-03-01,0.0,1.0,1.0,,0.0,0.014,0.014,,0.0
2020-03-02,1.0,1.143,0.0,,0.014,0.016,0.0,,0.0
2020-03-03,0.0,0.857,0.0,,0.0,0.012,0.0,,0.0
2020-03-04,0.0,0.429,0.0,,0.0,0.006,0.0,,0.0
2020-03-05,4.0,1.0,0.0,,0.056,0.014,0.0,,0.0
2020-03-06,1.0,1.0,0.0,0.143,0.014,0.014,0.0,0.002,16.67
2020-03-07,2.0,1.143,0.0,0.143,0.028,0.016,0.0,0.002,16.67
2020-03-08,0.0,1.143,0.0,0.0,0.0,0.016,0.0,0.0,16.67
2020-03-09,0.0,1.0,0.0,0.0,0.0,0.014,0.0,0.0,16.67
2020-03-10,3.0,1.429,0.0,0.0,0.042,0.02,0.0,0.0,25.0
2020-03-11,6.0,2.286,0.0,0.0,0.084,0.032,0.0,0.0,25.0
2020-03-12,13.0,3.571,0.0,0.0,0.181,0.05,0.0,0.0,25.0
2020-03-13,3.0,3.857,0.0,0.0,0.042,0.054,0.0,0.0,25.0
2020-03-14,7.0,4.571,0.0,0.0,0.098,0.064,0.0,0.0,25.0
2020-03-15,32.0,9.143,0.0,0.0,0.446,0.128,0.0,0.0,26.85
2020-03-16,33.0,13.857,0.0,0.0,0.46,0.193,0.0,0.0,33.8
2020-03-17,30.0,17.714,0.0,0.0,0.418,0.247,0.0,0.0,39.35
2020-03-18,35.0,21.857,0.0,0.0,0.488,0.305,0.0,0.0,48.61
2020-03-19,60.0,28.571,0.0,0.0,0.837,0.399,0.0,0.0,48.61
2020-03-20,50.0,35.286,0.0,0.0,0.697,0.492,0.0,0.0,48.61
2020-03-21,89.0,47.0,0.0,0.0,1.241,0.656,0.0,0.0,52.31
2020-03-22,188.0,69.286,0.0,0.0,2.622,0.966,0.0,0.0,52.31
2020-03-23,122.0,82.0,0.0,0.0,1.702,1.144,0.0,0.0,52.31
2020-03-24,106.0,92.857,4.0,0.571,1.478,1.295,0.056,0.008,52.31
2020-03-25,107.0,103.143,0.0,0.571,1.492,1.439,0.0,0.008,57.87
2020-03-26,111.0,110.429,0.0,0.571,1.548,1.54,0.0,0.008,68.06
2020-03-27,91.0,116.286,0.0,0.571,1.269,1.622,0.0,0.008,68.06
2020-03-28,108.0,119.0,1.0,0.714,1.506,1.66,0.014,0.01,68.06
2020-03-29,141.0,112.286,1.0,0.857,1.967,1.566,0.014,0.012,68.06
2020-03-30,138.0,114.571,2.0,1.143,1.925,1.598,0.028,0.016,68.06
2020-03-31,128.0,117.714,1.0,0.714,1.785,1.642,0.014,0.01,68.06
2020-04-01,120.0,119.571,2.0,1.0,1.674,1.668,0.028,0.014,68.06
2020-04-02,104.0,118.571,3.0,1.429,1.451,1.654,0.042,0.02,68.06
2020-04-03,103.0,120.286,4.0,2.0,1.437,1.678,0.056,0.028,76.85
2020-04-04,89.0,117.571,1.0,2.0,1.241,1.64,0.014,0.028,76.85
2020-04-05,102.0,112.0,3.0,2.286,1.423,1.562,0.042,0.032,76.85
2020-04-06,51.0,99.571,3.0,2.429,0.711,1.389,0.042,0.034,76.85
2020-04-07,38.0,86.714,1.0,2.429,0.53,1.209,0.014,0.034,76.85
2020-04-08,111.0,85.429,5.0,2.857,1.548,1.192,0.07,0.04,76.85
2020-04-09,54.0,78.286,0.0,2.429,0.753,1.092,0.0,0.034,76.85
2020-04-10,50.0,70.714,1.0,2.0,0.697,0.986,0.014,0.028,76.85
2020-04-11,45.0,64.429,2.0,2.143,0.628,0.899,0.028,0.03,76.85
2020-04-12,33.0,54.571,3.0,2.143,0.46,0.761,0.042,0.03,76.85
2020-04-13,28.0,51.286,2.0,2.0,0.391,0.715,0.028,0.028,76.85
2020-04-14,34.0,50.714,1.0,2.0,0.474,0.707,0.014,0.028,76.85
2020-04-15,30.0,39.143,2.0,1.571,0.418,0.546,0.028,0.022,76.85
2020-04-16,29.0,35.571,3.0,2.0,0.404,0.496,0.042,0.028,76.85
2020-04-17,28.0,32.429,1.0,2.0,0.391,0.452,0.014,0.028,76.85
2020-04-18,33.0,30.714,0.0,1.714,0.46,0.428,0.0,0.024,76.85
2020-04-19,32.0,30.571,0.0,1.286,0.446,0.426,0.0,0.018,76.85
2020-04-20,27.0,30.429,0.0,1.0,0.377,0.424,0.0,0.014,76.85
2020-04-21,19.0,28.286,2.0,1.143,0.265,0.395,0.028,0.016,76.85
2020-04-22,15.0,26.143,0.0,0.857,0.209,0.365,0.0,0.012,76.85
2020-04-23,13.0,23.857,1.0,0.571,0.181,0.333,0.014,0.008,76.85
2020-04-24,15.0,22.0,0.0,0.429,0.209,0.307,0.0,0.006,76.85
2020-04-25,53.0,24.857,1.0,0.571,0.739,0.347,0.014,0.008,76.85
2020-04-26,15.0,22.429,0.0,0.571,0.209,0.313,0.0,0.008,76.85
2020-04-27,9.0,19.857,1.0,0.714,0.126,0.277,0.014,0.01,76.85
2020-04-28,7.0,18.143,2.0,0.714,0.098,0.253,0.028,0.01,76.85
2020-04-29,9.0,17.286,0.0,0.714,0.126,0.241,0.0,0.01,76.85
2020-04-30,7.0,16.429,0.0,0.571,0.098,0.229,0.0,0.008,76.85
2020-05-01,6.0,15.143,0.0,0.571,0.084,0.211,0.0,0.008,76.85
2020-05-02,6.0,8.429,0.0,0.429,0.084,0.118,0.0,0.006,76.85
2020-05-03,3.0,6.714,0.0,0.429,0.042,0.094,0.0,0.006,75.0
2020-05-04,18.0,8.0,0.0,0.286,0.251,0.112,0.0,0.004,75.0
2020-05-05,1.0,7.143,0.0,0.0,0.014,0.1,0.0,0.0,75.0
2020-05-06,1.0,6.0,1.0,0.143,0.014,0.084,0.014,0.002,75.0
2020-05-07,3.0,5.429,0.0,0.143,0.042,0.076,0.0,0.002,75.0
2020-05-08,8.0,5.714,0.0,0.143,0.112,0.08,0.0,0.002,75.0
2020-05-09,4.0,5.429,1.0,0.286,0.056,0.076,0.014,0.004,75.0
2020-05-10,5.0,5.714,0.0,0.286,0.07,0.08,0.0,0.004,75.0
2020-05-11,6.0,4.0,0.0,0.286,0.084,0.056,0.0,0.004,75.0
2020-05-12,2.0,4.143,0.0,0.286,0.028,0.058,0.0,0.004,75.0
2020-05-13,0.0,4.0,0.0,0.143,0.0,0.056,0.0,0.002,75.0
2020-05-14,1.0,3.714,0.0,0.143,0.014,0.052,0.0,0.002,75.0
2020-05-15,7.0,3.571,0.0,0.143,0.098,0.05,0.0,0.002,75.0
2020-05-16,0.0,3.0,0.0,0.0,0.0,0.042,0.0,0.0,75.0
2020-05-17,3.0,2.714,0.0,0.0,0.042,0.038,0.0,0.0,73.15
2020-05-18,3.0,2.286,0.0,0.0,0.042,0.032,0.0,0.0,73.15
2020-05-19,2.0,2.286,0.0,0.0,0.028,0.032,0.0,0.0,75.0
2020-05-20,1.0,2.429,0.0,0.0,0.014,0.034,0.0,0.0,75.0
2020-05-21,3.0,2.714,0.0,0.0,0.042,0.038,0.0,0.0,75.0
2020-05-22,0.0,1.714,0.0,0.0,0.0,0.024,0.0,0.0,75.0
2020-05-23,3.0,2.143,0.0,0.0,0.042,0.03,0.0,0.0,75.0
2020-05-24,0.0,1.714,1.0,0.143,0.0,0.024,0.014,0.002,75.0
2020-05-25,2.0,1.571,0.0,0.143,0.028,0.022,0.0,0.002,75.0
2020-05-26,3.0,1.714,0.0,0.143,0.042,0.024,0.0,0.002,75.0
2020-05-27,9.0,2.857,0.0,0.143,0.126,0.04,0.0,0.002,75.0
2020-05-28,11.0,4.0,0.0,0.143,0.153,0.056,0.0,0.002,75.0
2020-05-29,11.0,5.571,0.0,0.143,0.153,0.078,0.0,0.002,75.0
2020-05-30,1.0,5.286,0.0,0.143,0.014,0.074,0.0,0.002,75.0
2020-05-31,4.0,5.857,0.0,0.0,0.056,0.082,0.0,0.0,75.0
2020-06-01,1.0,5.714,0.0,0.0,0.014,0.08,0.0,0.0,75.0
2020-06-02,1.0,5.429,1.0,0.143,0.014,0.076,0.014,0.002,75.0
2020-06-03,1.0,4.286,0.0,0.143,0.014,0.06,0.0,0.002,75.0
2020-06-04,17.0,5.143,0.0,0.143,0.237,0.072,0.0,0.002,75.0
2020-06-05,1.0,3.714,0.0,0.143,0.014,0.052,0.0,0.002,75.0
2020-06-06,2.0,3.857,0.0,0.143,0.028,0.054,0.0,0.002,62.96
2020-06-07,8.0,4.429,0.0,0.143,0.112,0.062,0.0,0.002,62.96
2020-06-08,7.0,5.286,0.0,0.143,0.098,0.074,0.0,0.002,62.96
2020-06-09,2.0,5.429,0.0,0.0,0.028,0.076,0.0,0.0,62.96
2020-06-10,4.0,5.857,0.0,0.0,0.056,0.082,0.0,0.0,62.96
2020-06-11,0.0,3.429,0.0,0.0,0.0,0.048,0.0,0.0,62.96
2020-06-12,4.0,3.857,0.0,0.0,0.056,0.054,0.0,0.0,62.96
2020-06-13,5.0,4.286,0.0,0.0,0.07,0.06,0.0,0.0,62.96
2020-06-14,1.0,3.286,0.0,0.0,0.014,0.046,0.0,0.0,62.96
2020-06-15,0.0,2.286,0.0,0.0,0.0,0.032,0.0,0.0,59.26
2020-06-16,0.0,2.0,0.0,0.0,0.0,0.028,0.0,0.0,59.26
2020-06-17,0.0,1.429,0.0,0.0,0.0,0.02,0.0,0.0,59.26
2020-06-18,6.0,2.286,0.0,0.0,0.084,0.032,0.0,0.0,59.26
2020-06-19,5.0,2.429,0.0,0.0,0.07,0.034,0.0,0.0,59.26
2020-06-20,1.0,1.857,0.0,0.0,0.014,0.026,0.0,0.0,59.26
2020-06-21,1.0,1.857,0.0,0.0,0.014,0.026,0.0,0.0,59.26
2020-06-22,3.0,2.286,0.0,0.0,0.042,0.032,0.0,0.0,59.26
2020-06-23,5.0,3.0,0.0,0.0,0.07,0.042,0.0,0.0,59.26
2020-06-24,1.0,3.143,0.0,0.0,0.014,0.044,0.0,0.0,59.26
2020-06-25,1.0,2.429,0.0,0.0,0.014,0.034,0.0,0.0,59.26
2020-06-26,4.0,2.286,0.0,0.0,0.056,0.032,0.0,0.0,59.26
2020-06-27,0.0,2.143,0.0,0.0,0.0,0.03,0.0,0.0,59.26
2020-06-28,0.0,2.0,0.0,0.0,0.0,0.028,0.0,0.0,59.26
2020-06-29,7.0,2.571,0.0,0.0,0.098,0.036,0.0,0.0,59.26
2020-06-30,2.0,2.143,0.0,0.0,0.028,0.03,0.0,0.0,59.26
2020-07-01,2.0,2.286,0.0,0.0,0.028,0.032,0.0,0.0,52.78
2020-07-02,6.0,3.0,0.0,0.0,0.084,0.042,0.0,0.0,52.78
2020-07-03,1.0,2.571,0.0,0.0,0.014,0.036,0.0,0.0,52.78
2020-07-04,5.0,3.286,0.0,0.0,0.07,0.046,0.0,0.0,52.78
2020-07-05,5.0,4.0,0.0,0.0,0.07,0.056,0.0,0.0,52.78
2020-07-06,5.0,3.714,0.0,0.0,0.07,0.052,0.0,0.0,52.78
2020-07-07,0.0,3.429,0.0,0.0,0.0,0.048,0.0,0.0,52.78
2020-07-08,2.0,3.429,0.0,0.0,0.028,0.048,0.0,0.0,52.78
2020-07-09,5.0,3.286,0.0,0.0,0.07,0.046,0.0,0.0,52.78
2020-07-10,0.0,3.143,0.0,0.0,0.0,0.044,0.0,0.0,52.78
2020-07-11,14.0,4.429,0.0,0.0,0.195,0.062,0.0,0.0,52.78
2020-07-12,1.0,3.857,0.0,0.0,0.014,0.054,0.0,0.0,52.78
2020-07-13,3.0,3.571,0.0,0.0,0.042,0.05,0.0,0.0,52.78
2020-07-14,7.0,4.571,0.0,0.0,0.098,0.064,0.0,0.0,52.78
2020-07-15,5.0,5.0,0.0,0.0,0.07,0.07,0.0,0.0,52.78
2020-07-16,4.0,4.857,0.0,0.0,0.056,0.068,0.0,0.0,52.78
2020-07-17,3.0,5.286,0.0,0.0,0.042,0.074,0.0,0.0,52.78
2020-07-18,7.0,4.286,0.0,0.0,0.098,0.06,0.0,0.0,52.78
2020-07-19,3.0,4.571,0.0,0.0,0.042,0.064,0.0,0.0,52.78
