time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-04,1.0,,,,0.081,,,,13.89
2020-03-05,0.0,,,,0.0,,,,13.89
2020-03-06,0.0,,,,0.0,,,,13.89
2020-03-07,0.0,,,,0.0,,,,13.89
2020-03-08,1.0,,,,0.081,,,,13.89
2020-03-09,0.0,0.286,,,0.0,0.023,,,16.67
2020-03-10,3.0,0.714,,,0.243,0.058,,,16.67
2020-03-11,2.0,0.857,,,0.162,0.069,,,16.67
2020-03-12,0.0,0.857,,,0.0,0.069,,,27.78
2020-03-13,9.0,2.143,,,0.728,0.173,,,33.33
2020-03-14,2.0,2.429,,,0.162,0.197,,,33.33
2020-03-15,0.0,2.286,,,0.0,0.185,,,33.33
2020-03-16,2.0,2.571,,,0.162,0.208,,,38.89
2020-03-17,4.0,2.714,,,0.324,0.22,,,38.89
2020-03-18,5.0,3.143,,,0.405,0.254,,,48.15
2020-03-19,10.0,4.571,1.0,,0.809,0.37,0.081,,48.15
2020-03-20,15.0,5.429,0.0,,1.214,0.439,0.0,,77.78
2020-03-21,6.0,6.0,0.0,,0.486,0.486,0.0,,77.78
2020-03-22,15.0,8.143,2.0,,1.214,0.659,0.162,,90.74
2020-03-23,14.0,9.857,0.0,,1.133,0.798,0.0,,90.74
2020-03-24,25.0,12.857,1.0,0.571,2.023,1.041,0.081,0.046,90.74
2020-03-25,59.0,20.571,1.0,0.714,4.775,1.665,0.081,0.058,90.74
2020-03-26,24.0,22.571,1.0,0.714,1.942,1.827,0.081,0.058,90.74
2020-03-27,30.0,24.714,0.0,0.714,2.428,2.0,0.0,0.058,90.74
2020-03-28,51.0,31.143,2.0,1.0,4.128,2.52,0.162,0.081,90.74
2020-03-29,34.0,33.857,0.0,0.714,2.752,2.74,0.0,0.058,90.74
2020-03-30,0.0,31.857,0.0,0.714,0.0,2.578,0.0,0.058,90.74
2020-03-31,82.0,40.0,2.0,0.857,6.636,3.237,0.162,0.069,90.74
2020-04-01,29.0,35.714,2.0,1.0,2.347,2.89,0.162,0.081,90.74
2020-04-02,32.0,36.857,2.0,1.143,2.59,2.983,0.162,0.092,90.74
2020-04-03,40.0,38.286,4.0,1.714,3.237,3.099,0.324,0.139,90.74
2020-04-04,58.0,39.286,0.0,1.429,4.694,3.179,0.0,0.116,90.74
2020-04-05,21.0,37.429,4.0,2.0,1.7,3.029,0.324,0.162,90.74
2020-04-06,22.0,40.571,0.0,2.0,1.78,3.284,0.0,0.162,90.74
2020-04-07,27.0,32.714,1.0,1.857,2.185,2.648,0.081,0.15,90.74
2020-04-08,5.0,29.286,1.0,1.714,0.405,2.37,0.081,0.139,90.74
2020-04-09,15.0,26.857,1.0,1.571,1.214,2.174,0.081,0.127,90.74
2020-04-10,28.0,25.143,0.0,1.0,2.266,2.035,0.0,0.081,90.74
2020-04-11,14.0,18.857,3.0,1.429,1.133,1.526,0.243,0.116,90.74
2020-04-12,22.0,19.0,3.0,1.286,1.78,1.538,0.243,0.104,90.74
2020-04-13,19.0,18.571,3.0,1.714,1.538,1.503,0.243,0.139,90.74
2020-04-14,21.0,17.714,0.0,1.571,1.7,1.434,0.0,0.127,90.74
2020-04-15,33.0,21.714,1.0,1.571,2.671,1.757,0.081,0.127,90.74
2020-04-16,42.0,25.571,2.0,1.714,3.399,2.07,0.162,0.139,90.74
2020-04-17,42.0,27.571,0.0,1.714,3.399,2.231,0.0,0.139,90.74
2020-04-18,0.0,25.571,0.0,1.286,0.0,2.07,0.0,0.104,90.74
2020-04-19,15.0,24.571,1.0,1.0,1.214,1.989,0.081,0.081,90.74
2020-04-20,5.0,22.571,0.0,0.571,0.405,1.827,0.0,0.046,90.74
2020-04-21,0.0,19.571,0.0,0.571,0.0,1.584,0.0,0.046,90.74
2020-04-22,25.0,18.429,0.0,0.429,2.023,1.491,0.0,0.035,90.74
2020-04-23,9.0,13.714,0.0,0.143,0.728,1.11,0.0,0.012,90.74
2020-04-24,4.0,8.286,0.0,0.143,0.324,0.671,0.0,0.012,90.74
2020-04-25,17.0,10.714,0.0,0.143,1.376,0.867,0.0,0.012,90.74
2020-04-26,10.0,10.0,0.0,0.0,0.809,0.809,0.0,0.0,90.74
2020-04-27,18.0,11.857,1.0,0.143,1.457,0.96,0.081,0.012,90.74
2020-04-28,8.0,13.0,1.0,0.286,0.647,1.052,0.081,0.023,90.74
2020-04-29,5.0,10.143,0.0,0.286,0.405,0.821,0.0,0.023,90.74
2020-04-30,14.0,10.857,1.0,0.429,1.133,0.879,0.081,0.035,90.74
2020-05-01,4.0,10.857,0.0,0.429,0.324,0.879,0.0,0.035,90.74
2020-05-02,11.0,10.0,1.0,0.571,0.89,0.809,0.081,0.046,90.74
2020-05-03,4.0,9.143,0.0,0.571,0.324,0.74,0.0,0.046,90.74
2020-05-04,5.0,7.286,1.0,0.571,0.405,0.59,0.081,0.046,87.04
2020-05-05,4.0,6.714,0.0,0.429,0.324,0.543,0.0,0.035,87.04
2020-05-06,3.0,6.429,0.0,0.429,0.243,0.52,0.0,0.035,87.04
2020-05-07,1.0,4.571,1.0,0.429,0.081,0.37,0.081,0.035,87.04
2020-05-08,4.0,4.571,1.0,0.571,0.324,0.37,0.081,0.046,87.04
2020-05-09,2.0,3.286,0.0,0.429,0.162,0.266,0.0,0.035,87.04
2020-05-10,0.0,2.714,0.0,0.429,0.0,0.22,0.0,0.035,87.04
2020-05-11,0.0,2.0,0.0,0.286,0.0,0.162,0.0,0.023,87.04
2020-05-12,0.0,1.429,0.0,0.286,0.0,0.116,0.0,0.023,87.04
2020-05-13,0.0,1.0,0.0,0.286,0.0,0.081,0.0,0.023,87.04
2020-05-14,0.0,0.857,0.0,0.143,0.0,0.069,0.0,0.012,87.04
2020-05-15,3.0,0.714,0.0,0.0,0.243,0.058,0.0,0.0,83.33
2020-05-16,2.0,0.714,0.0,0.0,0.162,0.058,0.0,0.0,83.33
2020-05-17,0.0,0.714,0.0,0.0,0.0,0.058,0.0,0.0,83.33
2020-05-18,6.0,1.571,1.0,0.143,0.486,0.127,0.081,0.012,83.33
2020-05-19,1.0,1.714,1.0,0.286,0.081,0.139,0.081,0.023,83.33
2020-05-20,1.0,1.857,0.0,0.286,0.081,0.15,0.0,0.023,83.33
2020-05-21,1.0,2.0,0.0,0.286,0.081,0.162,0.0,0.023,83.33
2020-05-22,2.0,1.857,0.0,0.286,0.162,0.15,0.0,0.023,83.33
2020-05-23,0.0,1.571,1.0,0.429,0.0,0.127,0.081,0.035,83.33
2020-05-24,3.0,2.0,0.0,0.429,0.243,0.162,0.0,0.035,83.33
2020-05-25,0.0,1.143,0.0,0.286,0.0,0.092,0.0,0.023,83.33
2020-05-26,0.0,1.0,0.0,0.143,0.0,0.081,0.0,0.012,83.33
2020-05-27,0.0,0.857,0.0,0.143,0.0,0.069,0.0,0.012,83.33
2020-05-28,17.0,3.143,0.0,0.143,1.376,0.254,0.0,0.012,79.63
2020-05-29,3.0,3.286,0.0,0.143,0.243,0.266,0.0,0.012,79.63
2020-05-30,5.0,4.0,0.0,0.0,0.405,0.324,0.0,0.0,79.63
2020-05-31,1.0,3.714,0.0,0.0,0.081,0.301,0.0,0.0,79.63
2020-06-01,7.0,4.714,0.0,0.0,0.567,0.382,0.0,0.0,79.63
2020-06-02,2.0,5.0,0.0,0.0,0.162,0.405,0.0,0.0,79.63
2020-06-03,1.0,5.143,1.0,0.143,0.081,0.416,0.081,0.012,79.63
2020-06-04,0.0,2.714,0.0,0.143,0.0,0.22,0.0,0.012,68.52
2020-06-05,0.0,2.286,0.0,0.143,0.0,0.185,0.0,0.012,68.52
2020-06-06,0.0,1.571,0.0,0.143,0.0,0.127,0.0,0.012,68.52
2020-06-07,0.0,1.429,0.0,0.143,0.0,0.116,0.0,0.012,68.52
2020-06-08,0.0,0.429,0.0,0.143,0.0,0.035,0.0,0.012,29.63
2020-06-09,0.0,0.143,0.0,0.143,0.0,0.012,0.0,0.012,29.63
2020-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.63
2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.63
2020-06-12,6.0,0.857,0.0,0.0,0.486,0.069,0.0,0.0,29.63
2020-06-13,1.0,1.0,0.0,0.0,0.081,0.081,0.0,0.0,29.63
2020-06-14,2.0,1.286,0.0,0.0,0.162,0.104,0.0,0.0,29.63
2020-06-15,14.0,3.286,0.0,0.0,1.133,0.266,0.0,0.0,29.63
2020-06-16,15.0,5.429,0.0,0.0,1.214,0.439,0.0,0.0,29.63
2020-06-17,3.0,5.857,1.0,0.143,0.243,0.474,0.081,0.012,29.63
2020-06-18,4.0,6.429,0.0,0.143,0.324,0.52,0.0,0.012,29.63
2020-06-19,14.0,7.571,0.0,0.143,1.133,0.613,0.0,0.012,29.63
2020-06-20,10.0,8.857,0.0,0.143,0.809,0.717,0.0,0.012,29.63
2020-06-21,1.0,8.714,0.0,0.143,0.081,0.705,0.0,0.012,29.63
2020-06-22,2.0,7.0,0.0,0.143,0.162,0.567,0.0,0.012,29.63
2020-06-23,0.0,4.857,0.0,0.143,0.0,0.393,0.0,0.012,29.63
2020-06-24,1.0,4.571,0.0,0.0,0.081,0.37,0.0,0.0,29.63
2020-06-25,2.0,4.286,0.0,0.0,0.162,0.347,0.0,0.0,29.63
2020-06-26,2.0,2.571,0.0,0.0,0.162,0.208,0.0,0.0,29.63
2020-06-27,4.0,1.714,0.0,0.0,0.324,0.139,0.0,0.0,26.85
2020-06-28,1.0,1.714,0.0,0.0,0.081,0.139,0.0,0.0,26.85
2020-06-29,3.0,1.857,0.0,0.0,0.243,0.15,0.0,0.0,26.85
2020-06-30,2.0,2.143,0.0,0.0,0.162,0.173,0.0,0.0,26.85
2020-07-01,1.0,2.143,0.0,0.0,0.081,0.173,0.0,0.0,26.85
2020-07-02,3.0,2.286,0.0,0.0,0.243,0.185,0.0,0.0,26.85
2020-07-03,3.0,2.429,0.0,0.0,0.243,0.197,0.0,0.0,26.85
2020-07-04,5.0,2.571,0.0,0.0,0.405,0.208,0.0,0.0,26.85
2020-07-05,2.0,2.714,0.0,0.0,0.162,0.22,0.0,0.0,26.85
2020-07-06,11.0,3.857,0.0,0.0,0.89,0.312,0.0,0.0,26.85
2020-07-07,6.0,4.429,0.0,0.0,0.486,0.358,0.0,0.0,26.85
2020-07-08,16.0,6.571,0.0,0.0,1.295,0.532,0.0,0.0,26.85
2020-07-09,10.0,7.571,0.0,0.0,0.809,0.613,0.0,0.0,26.85
2020-07-10,9.0,8.429,0.0,0.0,0.728,0.682,0.0,0.0,26.85
2020-07-11,5.0,8.429,0.0,0.0,0.405,0.682,0.0,0.0,26.85
2020-07-12,18.0,10.714,0.0,0.0,1.457,0.867,0.0,0.0,26.85
2020-07-13,39.0,14.714,0.0,0.0,3.156,1.191,0.0,0.0,26.85
2020-07-14,4.0,14.429,0.0,0.0,0.324,1.168,0.0,0.0,26.85
2020-07-15,13.0,14.0,0.0,0.0,1.052,1.133,0.0,0.0,26.85
2020-07-16,8.0,13.714,0.0,0.0,0.647,1.11,0.0,0.0,26.85
2020-07-17,9.0,13.714,0.0,0.0,0.728,1.11,0.0,0.0,26.85
2020-07-18,12.0,14.714,0.0,0.0,0.971,1.191,0.0,0.0,26.85
2020-07-19,26.0,15.857,0.0,0.0,2.104,1.283,0.0,0.0,26.85
2020-07-20,7.0,11.286,0.0,0.0,0.567,0.913,0.0,0.0,26.85
2020-07-21,8.0,11.857,0.0,0.0,0.647,0.96,0.0,0.0,26.85
