time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-11,1.0,,,,0.012,,,,23.15
2020-03-12,0.0,,,,0.0,,,,23.15
2020-03-13,4.0,,,,0.047,,,,23.15
2020-03-14,0.0,,,,0.0,,,,23.15
2020-03-15,1.0,,,,0.012,,,,23.15
2020-03-16,12.0,2.571,,,0.141,0.03,,,52.78
2020-03-17,29.0,6.714,1.0,,0.34,0.079,0.012,,52.78
2020-03-18,51.0,13.857,0.0,,0.598,0.162,0.0,,58.33
2020-03-19,94.0,27.286,2.0,,1.101,0.32,0.023,,58.33
2020-03-20,167.0,50.571,1.0,,1.957,0.593,0.012,,58.33
2020-03-21,311.0,95.0,5.0,,3.644,1.113,0.059,,62.04
2020-03-22,566.0,175.714,21.0,4.286,6.632,2.059,0.246,0.05,62.04
2020-03-23,293.0,215.857,7.0,5.286,3.433,2.529,0.082,0.062,62.04
2020-03-24,343.0,260.714,7.0,6.143,4.019,3.055,0.082,0.072,67.59
2020-03-25,561.0,333.571,15.0,8.286,6.574,3.909,0.176,0.097,67.59
2020-03-26,1196.0,491.0,16.0,10.286,14.014,5.753,0.187,0.121,67.59
2020-03-27,2069.0,762.714,17.0,12.571,24.244,8.937,0.199,0.147,70.37
2020-03-28,1704.0,961.714,16.0,14.143,19.967,11.269,0.187,0.166,75.93
2020-03-29,1815.0,1140.143,23.0,14.429,21.268,13.36,0.27,0.169,75.93
2020-03-30,1610.0,1328.286,37.0,18.714,18.865,15.564,0.434,0.219,75.93
2020-03-31,2704.0,1665.571,46.0,24.286,31.685,19.517,0.539,0.285,75.93
2020-04-01,2148.0,1892.286,63.0,31.143,25.17,22.173,0.738,0.365,75.93
2020-04-02,2456.0,2072.286,79.0,40.143,28.779,24.282,0.926,0.47,75.93
2020-04-03,2786.0,2174.714,69.0,47.571,32.645,25.483,0.809,0.557,75.93
2020-04-04,3013.0,2361.714,76.0,56.143,35.305,27.674,0.891,0.658,75.93
2020-04-05,3135.0,2550.286,73.0,63.286,36.735,29.883,0.855,0.742,75.93
2020-04-06,3148.0,2770.0,75.0,68.714,36.887,32.458,0.879,0.805,75.93
2020-04-07,3892.0,2939.714,76.0,73.0,45.605,34.447,0.891,0.855,75.93
2020-04-08,4117.0,3221.0,87.0,76.429,48.242,37.743,1.019,0.896,75.93
2020-04-09,4056.0,3449.571,96.0,78.857,47.527,40.421,1.125,0.924,75.93
2020-04-10,4747.0,3729.714,98.0,83.0,55.624,43.704,1.148,0.973,75.93
2020-04-11,5138.0,4033.286,95.0,85.714,60.205,47.261,1.113,1.004,77.78
2020-04-12,4789.0,4269.571,97.0,89.143,56.116,50.029,1.137,1.045,77.78
2020-04-13,4093.0,4404.571,98.0,92.429,47.96,51.611,1.148,1.083,75.93
2020-04-14,4062.0,4428.857,107.0,96.857,47.597,51.896,1.254,1.135,75.93
2020-04-15,4281.0,4452.286,115.0,100.857,50.163,52.17,1.348,1.182,75.93
2020-04-16,4801.0,4558.714,125.0,105.0,56.257,53.417,1.465,1.23,75.93
2020-04-17,4353.0,4502.429,126.0,109.0,51.007,52.758,1.476,1.277,75.93
2020-04-18,3783.0,4308.857,121.0,112.714,44.328,50.49,1.418,1.321,77.78
2020-04-19,3977.0,4192.857,127.0,117.0,46.601,49.13,1.488,1.371,77.78
2020-04-20,4674.0,4275.857,123.0,120.571,54.768,50.103,1.441,1.413,75.93
2020-04-21,4611.0,4354.286,119.0,122.286,54.03,51.022,1.394,1.433,75.93
2020-04-22,3083.0,4183.143,117.0,122.571,36.126,49.017,1.371,1.436,75.93
2020-04-23,3116.0,3942.429,115.0,121.143,36.512,46.196,1.348,1.42,75.93
2020-04-24,3122.0,3766.571,109.0,118.714,36.583,44.135,1.277,1.391,75.93
