time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-29,4.0,,,,0.424,,,,2.78
2020-01-30,0.0,,,,0.0,,,,2.78
2020-01-31,0.0,,,,0.0,,,,2.78
2020-02-01,0.0,,,,0.0,,,,2.78
2020-02-02,1.0,,,,0.106,,,,2.78
2020-02-03,0.0,0.714,,,0.0,0.076,,,2.78
2020-02-04,0.0,0.714,,,0.0,0.076,,,2.78
2020-02-05,0.0,0.143,,,0.0,0.015,,,2.78
2020-02-06,0.0,0.143,,,0.0,0.015,,,2.78
2020-02-07,0.0,0.143,,,0.0,0.015,,,2.78
2020-02-08,2.0,0.429,,,0.212,0.045,,,2.78
2020-02-09,0.0,0.286,,,0.0,0.03,,,2.78
2020-02-10,1.0,0.429,,,0.106,0.045,,,2.78
2020-02-11,0.0,0.429,,,0.0,0.045,,,2.78
2020-02-12,0.0,0.429,,,0.0,0.045,,,2.78
2020-02-13,0.0,0.429,,,0.0,0.045,,,2.78
2020-02-14,0.0,0.429,,,0.0,0.045,,,2.78
2020-02-15,0.0,0.143,,,0.0,0.015,,,2.78
2020-02-16,1.0,0.286,,,0.106,0.03,,,2.78
2020-02-17,0.0,0.143,,,0.0,0.015,,,2.78
2020-02-18,0.0,0.143,,,0.0,0.015,,,2.78
2020-02-19,0.0,0.143,,,0.0,0.015,,,2.78
2020-02-20,0.0,0.143,,,0.0,0.015,,,2.78
2020-02-21,0.0,0.143,,,0.0,0.015,,,2.78
2020-02-22,4.0,0.714,,,0.424,0.076,,,2.78
2020-02-23,0.0,0.571,,,0.0,0.061,,,2.78
2020-02-24,0.0,0.571,,,0.0,0.061,,,8.33
2020-02-25,0.0,0.571,,,0.0,0.061,,,8.33
2020-02-26,0.0,0.571,,,0.0,0.061,,,8.33
2020-02-27,0.0,0.571,,,0.0,0.061,,,8.33
2020-02-28,6.0,1.429,,,0.636,0.151,,,8.33
2020-02-29,2.0,1.143,,,0.212,0.121,,,8.33
2020-03-01,0.0,1.143,,,0.0,0.121,,,15.74
2020-03-02,0.0,1.143,,,0.0,0.121,,,15.74
2020-03-03,6.0,2.0,,,0.636,0.212,,,15.74
2020-03-04,0.0,2.0,,,0.0,0.212,,,15.74
2020-03-05,2.0,2.286,,,0.212,0.242,,,15.74
2020-03-06,0.0,1.429,,,0.0,0.151,,,15.74
2020-03-07,16.0,3.429,,,1.695,0.363,,,15.74
2020-03-08,0.0,3.429,,,0.0,0.363,,,21.3
2020-03-09,0.0,3.429,,,0.0,0.363,,,21.3
2020-03-10,29.0,6.714,,,3.072,0.711,,,21.3
2020-03-11,0.0,6.714,,,0.0,0.711,,,32.41
2020-03-12,11.0,8.0,,,1.165,0.847,,,32.41
2020-03-13,0.0,8.0,,,0.0,0.847,,,34.26
2020-03-14,0.0,5.714,,,0.0,0.605,,,34.26
2020-03-15,13.0,7.571,,,1.377,0.802,,,34.26
2020-03-16,0.0,7.571,,,0.0,0.802,,,45.37
2020-03-17,0.0,3.429,,,0.0,0.363,,,45.37
2020-03-18,15.0,5.571,,,1.589,0.59,,,45.37
2020-03-19,27.0,7.857,,,2.86,0.832,,,45.37
2020-03-20,0.0,7.857,2.0,,0.0,0.832,0.212,,45.37
2020-03-21,13.0,9.714,0.0,,1.377,1.029,0.0,,45.37
2020-03-22,0.0,7.857,0.0,,0.0,0.832,0.0,,45.37
2020-03-23,45.0,14.286,0.0,,4.766,1.513,0.0,,62.04
2020-03-24,50.0,21.429,0.0,,5.296,2.27,0.0,,62.04
2020-03-25,85.0,31.429,0.0,0.286,9.003,3.329,0.0,0.03,70.37
2020-03-26,0.0,27.571,0.0,0.286,0.0,2.92,0.0,0.03,73.15
2020-03-27,72.0,37.857,0.0,0.0,7.626,4.01,0.0,0.0,84.26
2020-03-28,63.0,45.0,0.0,0.0,6.673,4.766,0.0,0.0,84.26
2020-03-29,102.0,59.571,1.0,0.143,10.804,6.31,0.106,0.015,84.26
2020-03-30,41.0,59.0,2.0,0.429,4.343,6.249,0.212,0.045,84.26
2020-03-31,53.0,59.429,1.0,0.571,5.614,6.295,0.106,0.061,84.26
2020-04-01,150.0,68.714,2.0,0.857,15.888,7.278,0.212,0.091,84.26
2020-04-02,210.0,98.714,0.0,0.857,22.243,10.456,0.0,0.091,84.26
2020-04-03,240.0,122.714,1.0,1.0,25.421,12.998,0.106,0.106,84.26
2020-04-04,241.0,148.143,1.0,1.143,25.527,15.691,0.106,0.121,89.81
2020-04-05,294.0,175.571,0.0,1.0,31.14,18.596,0.0,0.106,89.81
2020-04-06,277.0,209.286,1.0,0.857,29.34,22.167,0.106,0.091,89.81
2020-04-07,283.0,242.143,1.0,0.857,29.975,25.648,0.106,0.091,89.81
2020-04-08,300.0,263.571,0.0,0.571,31.776,27.917,0.0,0.061,89.81
2020-04-09,331.0,280.857,2.0,0.857,35.059,29.748,0.212,0.091,89.81
2020-04-10,370.0,299.429,2.0,1.0,39.19,31.715,0.212,0.106,89.81
2020-04-11,376.0,318.714,4.0,1.429,39.826,33.758,0.424,0.151,89.81
2020-04-12,387.0,332.0,2.0,1.714,40.991,35.165,0.212,0.182,89.81
2020-04-13,398.0,349.286,3.0,2.0,42.156,36.996,0.318,0.212,89.81
2020-04-14,412.0,367.714,3.0,2.286,43.639,38.948,0.318,0.242,89.81
2020-04-15,432.0,386.571,5.0,3.0,45.757,40.945,0.53,0.318,89.81
2020-04-16,460.0,405.0,2.0,3.0,48.723,42.897,0.212,0.318,89.81
2020-04-17,477.0,420.286,2.0,3.0,50.524,44.516,0.212,0.318,87.04
2020-04-18,0.0,366.571,0.0,2.429,0.0,38.827,0.0,0.257,87.04
2020-04-19,479.0,379.714,4.0,2.714,50.735,40.219,0.424,0.287,87.04
2020-04-20,484.0,392.0,2.0,2.571,51.265,41.52,0.212,0.272,87.04
2020-04-21,490.0,403.143,3.0,2.571,51.901,42.701,0.318,0.272,87.04
2020-04-22,483.0,410.429,6.0,2.714,51.159,43.472,0.636,0.287,87.04
2020-04-23,518.0,418.714,4.0,3.0,54.866,44.35,0.424,0.318,87.04
2020-04-24,525.0,425.571,8.0,3.857,55.608,45.076,0.847,0.409,87.04
2020-04-25,532.0,501.571,7.0,4.857,56.349,53.126,0.741,0.514,87.04
2020-04-26,536.0,509.714,5.0,5.0,56.773,53.989,0.53,0.53,87.04
2020-04-27,490.0,510.571,6.0,5.571,51.901,54.079,0.636,0.59,87.04
2020-04-28,541.0,517.857,7.0,6.143,57.302,54.851,0.741,0.651,87.04
2020-04-29,549.0,527.286,9.0,6.571,58.15,55.85,0.953,0.696,81.48
2020-04-30,552.0,532.143,7.0,7.0,58.468,56.364,0.741,0.741,81.48
2020-05-01,557.0,536.714,6.0,6.714,58.997,56.848,0.636,0.711,81.48
2020-05-02,561.0,540.857,8.0,6.857,59.421,57.287,0.847,0.726,77.78
2020-05-03,564.0,544.857,7.0,7.143,59.739,57.711,0.741,0.757,77.78
2020-05-04,567.0,555.857,11.0,7.857,60.056,58.876,1.165,0.832,77.78
2020-05-05,462.0,544.571,9.0,8.143,48.935,57.681,0.953,0.862,77.78
2020-05-06,546.0,544.143,11.0,8.429,57.832,57.635,1.165,0.893,75.93
2020-05-07,502.0,537.0,8.0,8.571,53.172,56.879,0.847,0.908,75.93
2020-05-08,553.0,536.429,9.0,9.0,58.573,56.818,0.953,0.953,75.93
2020-05-09,624.0,545.429,11.0,9.429,66.094,57.771,1.165,0.999,75.93
2020-05-10,781.0,576.429,13.0,10.286,82.723,61.055,1.377,1.089,75.93
2020-05-11,680.0,592.571,3.0,9.143,72.025,62.765,0.318,0.968,75.93
2020-05-12,783.0,638.429,2.0,8.143,82.935,67.622,0.212,0.862,75.93
2020-05-13,725.0,664.0,3.0,7.0,76.792,70.331,0.318,0.741,75.93
2020-05-14,698.0,692.0,2.0,6.143,73.932,73.296,0.212,0.651,74.07
2020-05-15,747.0,719.714,2.0,5.143,79.122,76.232,0.212,0.545,74.07
2020-05-16,796.0,744.286,4.0,4.143,84.312,78.834,0.424,0.439,74.07
2020-05-17,731.0,737.143,6.0,3.143,77.427,78.078,0.636,0.333,74.07
2020-05-18,832.0,758.857,4.0,3.286,88.125,80.378,0.424,0.348,72.22
2020-05-19,873.0,771.714,3.0,3.429,92.468,81.74,0.318,0.363,72.22
2020-05-20,941.0,802.571,6.0,3.857,99.67,85.008,0.636,0.409,72.22
2020-05-21,894.0,830.571,4.0,4.143,94.692,87.974,0.424,0.439,72.22
2020-05-22,994.0,865.857,4.0,4.429,105.284,91.711,0.424,0.469,72.22
2020-05-23,812.0,868.143,3.0,4.286,86.007,91.953,0.318,0.454,72.22
2020-05-24,781.0,875.286,1.0,3.571,82.723,92.71,0.106,0.378,72.22
2020-05-25,822.0,873.857,3.0,3.429,87.066,92.558,0.318,0.363,72.22
2020-05-26,779.0,860.429,5.0,3.714,82.511,91.136,0.53,0.393,72.22
2020-05-27,883.0,852.143,2.0,3.143,93.527,90.258,0.212,0.333,72.22
2020-05-28,563.0,804.857,3.0,3.0,59.633,85.25,0.318,0.318,72.22
2020-05-29,638.0,754.0,2.0,2.714,67.577,79.863,0.212,0.287,72.22
2020-05-30,726.0,741.714,2.0,2.571,76.898,78.562,0.212,0.272,72.22
2020-05-31,661.0,724.571,2.0,2.714,70.013,76.746,0.212,0.287,72.22
2020-06-01,635.0,697.857,2.0,2.571,67.259,73.917,0.212,0.272,72.22
2020-06-02,596.0,671.714,3.0,2.286,63.128,71.148,0.318,0.242,72.22
2020-06-03,571.0,627.143,1.0,2.143,60.48,66.427,0.106,0.227,72.22
2020-06-04,659.0,640.857,3.0,2.143,69.801,67.879,0.318,0.227,72.22
2020-06-05,624.0,638.857,1.0,2.0,66.094,67.667,0.106,0.212,72.22
2020-06-06,626.0,624.571,1.0,1.857,66.306,66.154,0.106,0.197,72.22
2020-06-07,540.0,607.286,1.0,1.714,57.196,64.323,0.106,0.182,72.22
2020-06-08,568.0,597.714,5.0,2.143,60.162,63.31,0.53,0.227,72.22
2020-06-09,528.0,588.0,2.0,2.0,55.925,62.281,0.212,0.212,72.22
2020-06-10,603.0,592.571,1.0,2.0,63.869,62.765,0.106,0.212,72.22
2020-06-11,479.0,566.857,2.0,1.857,50.735,60.041,0.212,0.197,72.22
2020-06-12,513.0,551.0,1.0,1.857,54.337,58.362,0.106,0.197,72.22
2020-06-13,491.0,531.714,1.0,1.857,52.006,56.319,0.106,0.197,72.22
2020-06-14,304.0,498.0,1.0,1.857,32.2,52.748,0.106,0.197,72.22
2020-06-15,342.0,465.714,2.0,1.429,36.224,49.328,0.212,0.151,72.22
2020-06-16,346.0,439.714,2.0,1.429,36.648,46.574,0.212,0.151,72.22
2020-06-17,382.0,408.143,2.0,1.571,40.461,43.23,0.212,0.166,72.22
2020-06-18,388.0,395.143,3.0,1.714,41.097,41.853,0.318,0.182,72.22
2020-06-19,393.0,378.0,2.0,1.857,41.626,40.038,0.212,0.197,72.22
2020-06-20,388.0,363.286,1.0,1.857,41.097,38.479,0.106,0.197,72.22
2020-06-21,392.0,375.857,1.0,1.857,41.52,39.811,0.106,0.197,72.22
2020-06-22,378.0,381.0,1.0,1.714,40.038,40.355,0.106,0.182,72.22
2020-06-23,380.0,385.857,2.0,1.714,40.249,40.87,0.212,0.182,72.22
2020-06-24,450.0,395.571,2.0,1.714,47.664,41.899,0.212,0.182,72.22
2020-06-25,430.0,401.571,1.0,1.429,45.545,42.534,0.106,0.151,72.22
2020-06-26,410.0,404.0,2.0,1.429,43.427,42.791,0.212,0.151,72.22
2020-06-27,387.0,403.857,1.0,1.429,40.991,42.776,0.106,0.151,72.22
2020-06-28,437.0,410.286,2.0,1.571,46.287,43.457,0.212,0.166,72.22
2020-06-29,449.0,420.429,1.0,1.571,47.558,44.532,0.106,0.166,72.22
2020-06-30,421.0,426.286,1.0,1.429,44.592,45.152,0.106,0.151,72.22
2020-07-01,402.0,419.429,1.0,1.286,42.58,44.426,0.106,0.136,72.22
2020-07-02,400.0,415.143,1.0,1.286,42.368,43.972,0.106,0.136,72.22
2020-07-03,672.0,452.571,1.0,1.143,71.178,47.936,0.106,0.121,63.89
2020-07-04,716.0,499.571,3.0,1.429,75.838,52.914,0.318,0.151,63.89
2020-07-05,683.0,534.714,2.0,1.429,72.343,56.637,0.212,0.151,56.48
2020-07-06,528.0,546.0,1.0,1.429,55.925,57.832,0.106,0.151,56.48
2020-07-07,532.0,561.857,2.0,1.571,56.349,59.512,0.212,0.166,56.48
2020-07-08,445.0,568.0,1.0,1.571,47.134,60.162,0.106,0.166,56.48
2020-07-09,532.0,586.857,1.0,1.571,56.349,62.16,0.106,0.166,56.48
2020-07-10,473.0,558.429,2.0,1.714,50.1,59.148,0.212,0.182,56.48
2020-07-11,403.0,513.714,1.0,1.429,42.686,54.412,0.106,0.151,56.48
2020-07-12,401.0,473.429,2.0,1.429,42.474,50.145,0.212,0.151,56.48
2020-07-13,344.0,447.143,1.0,1.429,36.436,47.361,0.106,0.151,56.48
2020-07-14,375.0,424.714,1.0,1.286,39.72,44.985,0.106,0.136,56.48
2020-07-15,275.0,400.429,0.0,1.143,29.128,42.413,0.0,0.121,56.48
2020-07-16,281.0,364.571,0.0,1.0,29.763,38.615,0.0,0.106,56.48
2020-07-17,293.0,338.857,2.0,1.0,31.034,35.892,0.212,0.106,56.48
2020-07-18,289.0,322.571,1.0,1.0,30.611,34.167,0.106,0.106,56.48
2020-07-19,211.0,295.429,1.0,0.857,22.349,31.292,0.106,0.091,56.48
2020-07-20,271.0,285.0,1.0,0.857,28.704,30.187,0.106,0.091,56.48
2020-07-21,305.0,275.0,1.0,0.857,32.305,29.128,0.106,0.091,56.48
2020-07-22,236.0,269.429,1.0,1.0,24.997,28.538,0.106,0.106,56.48
2020-07-23,254.0,265.571,0.0,1.0,26.904,28.129,0.0,0.106,56.48
2020-07-24,261.0,261.0,1.0,0.857,27.645,27.645,0.106,0.091,56.48
2020-07-25,313.0,264.429,0.0,0.714,33.153,28.008,0.0,0.076,56.48
2020-07-26,351.0,284.429,1.0,0.714,37.178,30.127,0.106,0.076,56.48
2020-07-27,264.0,283.429,1.0,0.714,27.963,30.021,0.106,0.076,56.48
