time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-22,0.0,,0.0,,0.0,,0.0,,
2020-01-23,100.0,,1.0,,0.013,,0.0,,
2020-01-24,287.0,,8.0,,0.036,,0.001,,
2020-01-25,493.0,,16.0,,0.062,,0.002,,
2020-01-26,683.0,,14.0,,0.086,,0.002,,
2020-01-27,809.0,338.857,26.0,9.286,0.101,0.042,0.003,0.001,
2020-01-28,2651.0,717.571,49.0,16.286,0.332,0.09,0.006,0.002,
2020-01-29,589.0,801.714,2.0,16.571,0.074,0.101,0.0,0.002,
2020-01-30,2068.0,1082.857,39.0,22.0,0.259,0.136,0.005,0.003,
2020-01-31,1690.0,1283.286,42.0,26.857,0.212,0.161,0.005,0.003,
2020-02-01,2111.0,1514.429,46.0,31.143,0.265,0.19,0.006,0.004,
2020-02-02,4749.0,2095.286,104.0,44.0,0.595,0.263,0.013,0.006,
2020-02-03,3100.0,2422.571,64.0,49.429,0.389,0.304,0.008,0.006,
2020-02-04,4012.0,2617.0,66.0,51.857,0.503,0.328,0.008,0.007,
2020-02-05,3745.0,3067.857,72.0,61.857,0.47,0.385,0.009,0.008,
2020-02-06,3162.0,3224.143,70.0,66.286,0.396,0.404,0.009,0.008,
2020-02-07,3594.0,3496.143,85.0,72.429,0.451,0.438,0.011,0.009,
2020-02-08,2731.0,3584.714,87.0,78.286,0.342,0.449,0.011,0.01,
2020-02-09,3031.0,3339.286,100.0,77.714,0.38,0.419,0.013,0.01,
2020-02-10,2609.0,3269.143,107.0,83.857,0.327,0.41,0.013,0.011,
2020-02-11,2043.0,2987.857,100.0,88.714,0.256,0.375,0.013,0.011,
2020-02-12,418.0,2512.571,5.0,79.143,0.052,0.315,0.001,0.01,
2020-02-13,15152.0,4225.429,253.0,105.286,1.9,0.53,0.032,0.013,
2020-02-14,6528.0,4644.571,152.0,114.857,0.819,0.582,0.019,0.014,
2020-02-15,2143.0,4560.571,143.0,122.857,0.269,0.572,0.018,0.015,
2020-02-16,2183.0,4439.429,104.0,123.429,0.274,0.557,0.013,0.015,
2020-02-17,2035.0,4357.429,98.0,122.143,0.255,0.546,0.012,0.015,
2020-02-18,1882.0,4334.429,140.0,127.857,0.236,0.543,0.018,0.016,
2020-02-19,500.0,4346.143,115.0,143.571,0.063,0.545,0.014,0.018,
2020-02-20,561.0,2261.714,125.0,125.286,0.07,0.284,0.016,0.016,
2020-02-21,630.0,1419.143,4.0,104.143,0.079,0.178,0.001,0.013,
2020-02-22,1762.0,1364.714,208.0,113.429,0.221,0.171,0.026,0.014,
2020-02-23,382.0,1107.429,11.0,100.143,0.048,0.139,0.001,0.013,
2020-02-24,568.0,897.857,160.0,109.0,0.071,0.113,0.02,0.014,
2020-02-25,854.0,751.0,80.0,100.429,0.107,0.094,0.01,0.013,
2020-02-26,973.0,818.571,61.0,92.714,0.122,0.103,0.008,0.012,
2020-02-27,1344.0,930.429,43.0,81.0,0.169,0.117,0.005,0.01,
2020-02-28,1424.0,1043.857,59.0,88.857,0.179,0.131,0.007,0.011,
2020-02-29,1871.0,1059.429,70.0,69.143,0.235,0.133,0.009,0.009,
2020-03-01,2379.0,1344.714,54.0,75.286,0.298,0.169,0.007,0.009,
2020-03-02,1980.0,1546.429,90.0,65.286,0.248,0.194,0.011,0.008,
2020-03-03,2612.0,1797.571,74.0,64.429,0.328,0.225,0.009,0.008,
2020-03-04,2322.0,1990.286,96.0,69.429,0.291,0.25,0.012,0.009,
2020-03-05,2711.0,2185.571,95.0,76.857,0.34,0.274,0.012,0.01,
2020-03-06,3930.0,2543.571,114.0,84.714,0.493,0.319,0.014,0.011,
2020-03-07,4131.0,2866.429,104.0,89.571,0.518,0.359,0.013,0.011,
2020-03-08,3854.0,3077.143,242.0,116.429,0.483,0.386,0.03,0.015,
