time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-04-10,1.0,,,,0.03,,,,61.11
2020-04-11,0.0,,,,0.0,,,,61.11
2020-04-12,0.0,,,,0.0,,,,61.11
2020-04-13,0.0,,,,0.0,,,,61.11
2020-04-14,0.0,,,,0.0,,,,61.11
2020-04-15,0.0,0.143,,,0.0,0.004,,,61.11
2020-04-16,0.0,0.143,,,0.0,0.004,,,61.11
2020-04-17,0.0,0.0,,,0.0,0.0,,,61.11
2020-04-18,0.0,0.0,,,0.0,0.0,,,61.11
2020-04-19,0.0,0.0,,,0.0,0.0,,,61.11
2020-04-20,0.0,0.0,,,0.0,0.0,,,61.11
2020-04-21,0.0,0.0,,,0.0,0.0,,,61.11
2020-04-22,0.0,0.0,,,0.0,0.0,,,61.11
2020-04-23,0.0,0.0,,,0.0,0.0,,,61.11
2020-04-24,0.0,0.0,,,0.0,0.0,,,61.11
2020-04-25,0.0,0.0,,,0.0,0.0,,,61.11
2020-04-26,0.0,0.0,,,0.0,0.0,,,61.11
2020-04-27,0.0,0.0,,,0.0,0.0,,,61.11
2020-04-28,0.0,0.0,,,0.0,0.0,,,61.11
2020-04-29,5.0,0.714,,,0.148,0.021,,,61.11
2020-04-30,0.0,0.714,2.0,,0.0,0.021,0.059,,64.81
2020-05-01,1.0,0.857,0.0,,0.03,0.025,0.0,,64.81
2020-05-02,3.0,1.286,0.0,,0.089,0.038,0.0,,64.81
2020-05-03,0.0,1.286,0.0,,0.0,0.038,0.0,,64.81
2020-05-04,2.0,1.571,0.0,,0.059,0.047,0.0,,64.81
2020-05-05,9.0,2.857,1.0,0.429,0.267,0.085,0.03,0.013,64.81
2020-05-06,4.0,2.714,2.0,0.714,0.119,0.081,0.059,0.021,64.81
2020-05-07,0.0,2.714,0.0,0.429,0.0,0.081,0.0,0.013,64.81
2020-05-08,9.0,3.857,0.0,0.429,0.267,0.114,0.0,0.013,64.81
2020-05-09,0.0,3.429,2.0,0.714,0.0,0.102,0.059,0.021,64.81
2020-05-10,17.0,5.857,1.0,0.857,0.505,0.174,0.03,0.025,64.81
2020-05-11,5.0,6.286,1.0,1.0,0.148,0.187,0.03,0.03,64.81
2020-05-12,9.0,6.286,1.0,1.0,0.267,0.187,0.03,0.03,64.81
2020-05-13,5.0,6.429,2.0,1.0,0.148,0.191,0.059,0.03,64.81
2020-05-14,15.0,8.571,0.0,1.0,0.445,0.254,0.0,0.03,63.89
2020-05-15,21.0,10.286,3.0,1.429,0.623,0.305,0.089,0.042,63.89
2020-05-16,16.0,12.571,3.0,1.571,0.475,0.373,0.089,0.047,63.89
2020-05-17,6.0,11.0,2.0,1.714,0.178,0.326,0.059,0.051,63.89
2020-05-18,2.0,10.571,0.0,1.571,0.059,0.314,0.0,0.047,63.89
2020-05-19,37.0,14.571,8.0,2.571,1.098,0.432,0.237,0.076,63.89
2020-05-20,13.0,15.714,1.0,2.429,0.386,0.466,0.03,0.072,63.89
2020-05-21,13.0,15.429,4.0,3.0,0.386,0.458,0.119,0.089,63.89
2020-05-22,12.0,14.143,0.0,2.571,0.356,0.42,0.0,0.076,63.89
2020-05-23,7.0,12.857,6.0,3.0,0.208,0.382,0.178,0.089,63.89
2020-05-24,10.0,13.429,3.0,3.143,0.297,0.399,0.089,0.093,63.89
2020-05-25,11.0,14.714,2.0,3.429,0.326,0.437,0.059,0.102,63.89
2020-05-26,16.0,11.714,5.0,3.0,0.475,0.348,0.148,0.089,63.89
2020-05-27,6.0,10.714,4.0,3.429,0.178,0.318,0.119,0.102,63.89
2020-05-28,23.0,12.143,4.0,3.429,0.683,0.36,0.119,0.102,63.89
2020-05-29,5.0,11.143,8.0,4.571,0.148,0.331,0.237,0.136,63.89
2020-05-30,27.0,14.0,12.0,5.429,0.801,0.415,0.356,0.161,63.89
2020-05-31,13.0,14.429,3.0,5.429,0.386,0.428,0.089,0.161,63.89
2020-06-01,31.0,17.286,4.0,5.714,0.92,0.513,0.119,0.17,63.89
2020-06-02,45.0,21.429,3.0,5.429,1.335,0.636,0.089,0.161,63.89
2020-06-03,20.0,23.429,8.0,6.0,0.594,0.695,0.237,0.178,63.89
2020-06-04,34.0,25.0,8.0,6.571,1.009,0.742,0.237,0.195,63.89
2020-06-05,16.0,26.571,8.0,6.571,0.475,0.789,0.237,0.195,63.89
2020-06-06,13.0,24.571,0.0,4.857,0.386,0.729,0.0,0.144,63.89
2020-06-07,2.0,23.0,1.0,4.571,0.059,0.683,0.03,0.136,63.89
2020-06-08,12.0,20.286,0.0,4.0,0.356,0.602,0.0,0.119,63.89
2020-06-09,28.0,17.857,15.0,5.714,0.831,0.53,0.445,0.17,63.89
2020-06-10,36.0,20.143,2.0,4.857,1.068,0.598,0.059,0.144,63.89
