time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-20,1.0,,,,0.061,,,,27.78
2020-03-21,2.0,,,,0.123,,,,27.78
2020-03-22,0.0,,,,0.0,,,,27.78
2020-03-23,0.0,,1.0,,0.0,,0.061,,45.37
2020-03-24,0.0,,0.0,,0.0,,0.0,,56.48
2020-03-25,0.0,0.429,0.0,,0.0,0.026,0.0,,56.48
2020-03-26,0.0,0.429,0.0,,0.0,0.026,0.0,,56.48
2020-03-27,2.0,0.571,0.0,,0.123,0.035,0.0,,62.04
2020-03-28,2.0,0.571,0.0,0.143,0.123,0.035,0.0,0.009,62.04
2020-03-29,0.0,0.571,0.0,0.143,0.0,0.035,0.0,0.009,62.04
2020-03-30,0.0,0.571,0.0,0.0,0.0,0.035,0.0,0.0,87.96
2020-03-31,1.0,0.714,0.0,0.0,0.061,0.044,0.0,0.0,87.96
2020-04-01,0.0,0.714,0.0,0.0,0.0,0.044,0.0,0.0,87.96
2020-04-02,1.0,0.857,0.0,0.0,0.061,0.053,0.0,0.0,87.96
2020-04-03,0.0,0.571,0.0,0.0,0.0,0.035,0.0,0.0,87.96
2020-04-04,0.0,0.286,0.0,0.0,0.0,0.018,0.0,0.0,87.96
2020-04-05,0.0,0.286,0.0,0.0,0.0,0.018,0.0,0.0,87.96
2020-04-06,1.0,0.429,0.0,0.0,0.061,0.026,0.0,0.0,87.96
2020-04-07,1.0,0.429,1.0,0.143,0.061,0.026,0.061,0.009,87.96
2020-04-08,0.0,0.429,1.0,0.286,0.0,0.026,0.061,0.018,87.96
2020-04-09,0.0,0.286,0.0,0.286,0.0,0.018,0.0,0.018,87.96
2020-04-10,2.0,0.571,0.0,0.286,0.123,0.035,0.0,0.018,87.96
2020-04-11,1.0,0.714,0.0,0.286,0.061,0.044,0.0,0.018,87.96
2020-04-12,0.0,0.714,0.0,0.286,0.0,0.044,0.0,0.018,87.96
2020-04-13,3.0,1.0,0.0,0.286,0.184,0.061,0.0,0.018,87.96
2020-04-14,0.0,0.857,0.0,0.143,0.0,0.053,0.0,0.009,87.96
2020-04-15,6.0,1.714,0.0,0.0,0.368,0.105,0.0,0.0,87.96
2020-04-16,0.0,1.714,0.0,0.0,0.0,0.105,0.0,0.0,87.96
2020-04-17,1.0,1.571,0.0,0.0,0.061,0.096,0.0,0.0,87.96
2020-04-18,1.0,1.571,0.0,0.0,0.061,0.096,0.0,0.0,87.96
2020-04-19,0.0,1.571,0.0,0.0,0.0,0.096,0.0,0.0,87.96
2020-04-20,0.0,1.143,0.0,0.0,0.0,0.07,0.0,0.0,87.96
2020-04-21,3.0,1.571,0.0,0.0,0.184,0.096,0.0,0.0,87.96
2020-04-22,0.0,0.714,1.0,0.143,0.0,0.044,0.061,0.009,87.96
2020-04-23,0.0,0.714,0.0,0.143,0.0,0.044,0.0,0.009,87.96
2020-04-24,1.0,0.714,0.0,0.143,0.061,0.044,0.0,0.009,87.96
2020-04-25,2.0,0.857,0.0,0.143,0.123,0.053,0.0,0.009,87.96
2020-04-26,0.0,0.857,0.0,0.143,0.0,0.053,0.0,0.009,87.96
2020-04-27,1.0,1.0,0.0,0.143,0.061,0.061,0.0,0.009,87.96
2020-04-28,0.0,0.571,0.0,0.143,0.0,0.035,0.0,0.009,87.96
2020-04-29,0.0,0.571,0.0,0.0,0.0,0.035,0.0,0.0,87.96
2020-04-30,8.0,1.714,0.0,0.0,0.49,0.105,0.0,0.0,87.96
2020-05-01,0.0,1.571,0.0,0.0,0.0,0.096,0.0,0.0,87.96
2020-05-02,,,0.0,0.0,,,0.0,0.0,87.96
2020-05-03,0.0,1.286,0.0,0.0,0.0,0.079,0.0,0.0,87.96
2020-05-04,0.0,1.143,0.0,0.0,0.0,0.07,0.0,0.0,87.96
2020-05-05,0.0,1.143,0.0,0.0,0.0,0.07,0.0,0.0,87.96
2020-05-06,0.0,1.143,0.0,0.0,0.0,0.07,0.0,0.0,87.96
2020-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.96
2020-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.96
2020-05-09,1.0,0.143,0.0,0.0,0.061,0.009,0.0,0.0,87.96
2020-05-10,1.0,0.286,0.0,0.0,0.061,0.018,0.0,0.0,87.96
2020-05-11,0.0,0.286,0.0,0.0,0.0,0.018,0.0,0.0,87.96
2020-05-12,0.0,0.286,0.0,0.0,0.0,0.018,0.0,0.0,87.96
2020-05-13,1.0,0.429,0.0,0.0,0.061,0.026,0.0,0.0,87.96
2020-05-14,0.0,0.429,0.0,0.0,0.0,0.026,0.0,0.0,87.96
2020-05-15,5.0,1.143,0.0,0.0,0.306,0.07,0.0,0.0,87.96
2020-05-16,0.0,1.0,0.0,0.0,0.0,0.061,0.0,0.0,87.96
2020-05-17,2.0,1.143,0.0,0.0,0.123,0.07,0.0,0.0,87.96
2020-05-18,2.0,1.429,0.0,0.0,0.123,0.088,0.0,0.0,87.96
2020-05-19,0.0,1.429,0.0,0.0,0.0,0.088,0.0,0.0,87.96
2020-05-20,2.0,1.571,0.0,0.0,0.123,0.096,0.0,0.0,87.96
2020-05-21,3.0,2.0,0.0,0.0,0.184,0.123,0.0,0.0,87.96
2020-05-22,0.0,1.286,0.0,0.0,0.0,0.079,0.0,0.0,87.96
2020-05-23,5.0,2.0,0.0,0.0,0.306,0.123,0.0,0.0,87.96
2020-05-24,0.0,1.714,0.0,0.0,0.0,0.105,0.0,0.0,87.96
2020-05-25,0.0,1.429,0.0,0.0,0.0,0.088,0.0,0.0,87.96
2020-05-26,0.0,1.429,0.0,0.0,0.0,0.088,0.0,0.0,87.96
2020-05-27,76.0,12.0,0.0,0.0,4.657,0.735,0.0,0.0,87.96
2020-05-28,17.0,14.0,0.0,0.0,1.042,0.858,0.0,0.0,87.96
2020-05-29,0.0,14.0,0.0,0.0,0.0,0.858,0.0,0.0,87.96
2020-05-30,25.0,16.857,0.0,0.0,1.532,1.033,0.0,0.0,87.96
2020-05-31,4.0,17.429,0.0,0.0,0.245,1.068,0.0,0.0,87.96
2020-06-01,25.0,21.0,0.0,0.0,1.532,1.287,0.0,0.0,87.96
2020-06-02,3.0,21.429,0.0,0.0,0.184,1.313,0.0,0.0,87.96
2020-06-03,16.0,12.857,0.0,0.0,0.98,0.788,0.0,0.0,87.96
2020-06-04,15.0,12.571,0.0,0.0,0.919,0.77,0.0,0.0,87.96
2020-06-05,28.0,16.571,0.0,0.0,1.716,1.015,0.0,0.0,70.37
2020-06-06,14.0,15.0,0.0,0.0,0.858,0.919,0.0,0.0,70.37
2020-06-07,3.0,14.857,0.0,0.0,0.184,0.91,0.0,0.0,70.37
2020-06-08,5.0,12.0,0.0,0.0,0.306,0.735,0.0,0.0,70.37
2020-06-09,27.0,15.429,0.0,0.0,1.654,0.945,0.0,0.0,70.37
2020-06-10,6.0,14.0,0.0,0.0,0.368,0.858,0.0,0.0,70.37
2020-06-11,12.0,13.571,0.0,0.0,0.735,0.832,0.0,0.0,70.37
2020-06-12,11.0,11.143,0.0,0.0,0.674,0.683,0.0,0.0,70.37
2020-06-13,13.0,11.0,0.0,0.0,0.797,0.674,0.0,0.0,70.37
2020-06-14,27.0,14.429,0.0,0.0,1.654,0.884,0.0,0.0,70.37
2020-06-15,4.0,14.286,0.0,0.0,0.245,0.875,0.0,0.0,70.37
2020-06-16,4.0,11.0,0.0,0.0,0.245,0.674,0.0,0.0,70.37
2020-06-17,10.0,11.571,0.0,0.0,0.613,0.709,0.0,0.0,70.37
2020-06-18,62.0,18.714,0.0,0.0,3.799,1.147,0.0,0.0,70.37
2020-06-19,16.0,19.429,0.0,0.0,0.98,1.19,0.0,0.0,70.37
2020-06-20,0.0,17.571,0.0,0.0,0.0,1.077,0.0,0.0,70.37
2020-06-21,10.0,15.143,2.0,0.286,0.613,0.928,0.123,0.018,70.37
2020-06-22,23.0,17.857,0.0,0.286,1.409,1.094,0.0,0.018,70.37
2020-06-23,13.0,19.143,0.0,0.286,0.797,1.173,0.0,0.018,70.37
2020-06-24,5.0,18.429,0.0,0.286,0.306,1.129,0.0,0.018,70.37
2020-06-25,21.0,12.571,0.0,0.286,1.287,0.77,0.0,0.018,70.37
2020-06-26,10.0,11.714,0.0,0.286,0.613,0.718,0.0,0.018,70.37
2020-06-27,6.0,12.571,0.0,0.286,0.368,0.77,0.0,0.018,70.37
2020-06-28,0.0,11.143,0.0,0.0,0.0,0.683,0.0,0.0,70.37
2020-06-29,7.0,8.857,1.0,0.143,0.429,0.543,0.061,0.009,70.37
2020-06-30,17.0,9.429,0.0,0.143,1.042,0.578,0.0,0.009,70.37
2020-07-01,14.0,10.714,0.0,0.143,0.858,0.656,0.0,0.009,70.37
2020-07-02,12.0,9.429,0.0,0.143,0.735,0.578,0.0,0.009,70.37
2020-07-03,8.0,9.143,0.0,0.143,0.49,0.56,0.0,0.009,70.37
2020-07-04,73.0,18.714,1.0,0.286,4.473,1.147,0.061,0.018,70.37
2020-07-05,18.0,21.286,0.0,0.286,1.103,1.304,0.0,0.018,70.37
2020-07-06,18.0,22.857,1.0,0.286,1.103,1.401,0.061,0.018,70.37
2020-07-07,53.0,28.0,0.0,0.286,3.247,1.716,0.0,0.018,70.37
2020-07-08,98.0,40.0,0.0,0.286,6.005,2.451,0.0,0.018,73.15
2020-07-09,0.0,38.286,0.0,0.286,0.0,2.346,0.0,0.018,73.15
2020-07-10,57.0,45.286,4.0,0.857,3.493,2.775,0.245,0.053,73.15
2020-07-11,40.0,40.571,5.0,1.429,2.451,2.486,0.306,0.088,73.15
2020-07-12,3.0,38.429,0.0,1.429,0.184,2.355,0.0,0.088,73.15
2020-07-13,49.0,42.857,1.0,1.429,3.002,2.626,0.061,0.088,73.15
2020-07-14,30.0,39.571,1.0,1.571,1.838,2.425,0.061,0.096,73.15
2020-07-15,25.0,29.143,0.0,1.571,1.532,1.786,0.0,0.096,73.15
2020-07-16,273.0,68.143,3.0,2.0,16.727,4.175,0.184,0.123,73.15
2020-07-17,58.0,68.286,1.0,1.571,3.554,4.184,0.061,0.096,73.15
2020-07-18,58.0,70.857,1.0,1.0,3.554,4.342,0.061,0.061,73.15
2020-07-19,133.0,89.429,0.0,1.0,8.149,5.48,0.0,0.061,73.15
