male,female,total
2907.406,2765.103,5672.509
2774.63,2641.593,5416.223
2651.664,2540.45,5192.114
2377.941,2251.504,4629.445
2017.279,1909.206,3926.485
1610.796,1498.59,3109.386
1299.121,1179.138,2478.259
1068.167,988.22,2056.387
868.02,790.703,1658.723
677.226,627.51,1304.736
529.188,503.171,1032.359
411.379,396.46,807.839
305.081,307.557,612.638
215.637,229.221,444.858
140.254,172.197,312.451
76.897,91.107,168.004
33.115,42.49,75.605
10.185,14.275,24.46
2.053,3.139,5.192
0.215,0.414,0.629
0.011,0.028,0.039
