male,female,total
857.499,812.208,1669.707
841.026,798.241,1639.267
825.846,784.728,1610.574
777.475,742.431,1519.906
811.222,783.346,1594.568
909.705,871.181,1780.886
939.585,935.876,1875.461
921.591,921.292,1842.883
810.368,818.343,1628.711
831.536,845.813,1677.349
768.934,789.39,1558.324
767.4,782.011,1549.411
693.712,724.814,1418.526
601.807,630.854,1232.661
527.592,555.787,1083.379
365.811,397.186,762.997
241.273,281.672,522.945
136.756,192.294,329.05
56.263,100.294,156.557
12.306,30.076,42.382
0.918,3.419,4.337
