male,female,total
1898.922,1811.777,3710.699
1893.684,1809.772,3703.456
1978.788,1894.697,3873.485
2166.822,2079.569,4246.391
2246.568,2174.898,4421.466
2235.008,2190.587,4425.595
2032.111,2024.696,4056.807
1850.248,1903.244,3753.492
1647.786,1773.283,3421.069
1422.231,1607.487,3029.718
1371.075,1537.39,2908.465
1239.798,1395.717,2635.515
957.019,1129.431,2086.45
771.771,913.137,1684.908
537.856,649.78,1187.636
346.356,445.769,792.125
218.269,298.0,516.269
112.047,166.494,278.541
45.208,70.447,115.655
11.65,19.489,31.139
1.347,2.656,4.003
