male,female,total
852.48,814.607,1667.087
822.971,787.672,1610.643
794.178,760.867,1555.045
795.398,765.542,1560.94
795.841,770.693,1566.534
741.93,727.724,1469.654
684.119,679.034,1363.153
614.345,615.341,1229.686
544.919,554.097,1099.016
487.453,501.771,989.224
424.183,440.121,864.304
354.801,372.034,726.835
291.42,310.214,601.634
233.026,253.078,486.104
154.896,173.174,328.07
111.561,130.493,242.054
67.833,84.427,152.26
35.155,47.23,82.385
13.671,21.406,35.077
3.27,7.576,10.846
0.377,2.132,2.509
