male,female,total
1850.423,1769.564,3619.987
1995.914,1911.573,3907.487
2044.727,1950.961,3995.688
1985.946,1901.843,3887.789
1868.952,1828.067,3697.019
1822.073,1851.937,3674.01
1931.949,2009.584,3941.533
1995.352,2074.165,4069.517
1943.64,1999.757,3943.397
2169.139,2213.131,4382.27
2146.431,2216.97,4363.401
2079.209,2192.447,4271.656
1902.791,2070.457,3973.248
1785.851,2005.687,3791.538
1627.196,1896.42,3523.616
981.805,1222.283,2204.088
740.347,1071.98,1812.327
475.731,854.083,1329.814
194.367,470.532,664.899
44.359,156.426,200.785
2.993,16.45,19.443
