male,female,total
237.052,224.09,461.142
229.364,218.06,447.424
247.724,235.637,483.361
249.731,236.115,485.846
265.562,252.381,517.943
323.916,309.831,633.747
312.996,299.168,612.164
325.171,319.807,644.978
409.741,404.943,814.684
388.418,385.111,773.529
318.463,329.688,648.151
263.135,290.102,553.237
287.562,348.757,636.319
288.884,381.229,670.113
190.751,285.02,475.771
135.231,235.574,370.805
74.196,165.548,239.744
36.684,95.391,132.075
10.818,34.963,45.781
2.751,10.167,12.918
0.138,0.48,0.618
