male,female,total
12092.736,11565.56,23658.296
12411.28,11886.87,24298.15
11809.874,11174.785,22984.659
12008.052,11310.294,23318.346
11625.762,11027.508,22653.27
10640.126,10278.03,20918.156
9955.229,10018.019,19973.248
10590.213,10603.161,21193.374
9893.522,9787.218,19680.74
9169.094,8996.891,18165.985
8007.935,7947.047,15954.982
6540.189,6659.928,13200.117
5149.357,5245.489,10394.846
3560.471,3575.894,7136.365
2092.055,2525.488,4617.543
1271.922,1685.01,2956.932
629.423,1002.254,1631.677
208.338,384.796,593.134
55.562,113.431,168.993
6.347,16.898,23.245
0.374,1.189,1.563
