male,female,total
3913.297,3724.262,7637.559
3566.704,3361.593,6928.297
3185.825,3032.12,6217.945
2829.745,2700.238,5529.983
2801.162,2755.066,5556.228
3382.446,3404.233,6786.679
4211.84,4254.862,8466.702
4120.405,4152.339,8272.744
3270.956,3220.365,6491.321
2608.048,2556.247,5164.295
2321.587,2296.892,4618.479
1826.123,1850.729,3676.852
1559.797,1572.477,3132.274
1128.726,1135.905,2264.631
709.933,738.068,1448.001
471.441,435.165,906.606
306.847,244.765,551.612
162.121,115.36,277.481
27.495,29.181,56.676
3.67,4.4,8.07
0.238,0.28,0.518
