male,female,total
1197.289,1127.405,2324.694
1374.731,1295.57,2670.301
1470.174,1387.183,2857.357
1484.455,1391.636,2876.091
1526.577,1415.929,2942.506
1625.23,1535.7,3160.93
1702.976,1662.536,3365.512
1824.273,1808.649,3632.922
2092.329,2096.655,4188.984
2401.07,2431.95,4833.02
2420.466,2487.78,4908.246
2274.884,2384.062,4658.946
1903.045,2050.522,3953.567
1679.6,1851.695,3531.295
1586.76,1805.038,3391.798
1182.323,1454.787,2637.11
958.36,1344.033,2302.393
504.059,893.202,1397.261
186.608,453.131,639.739
39.461,133.178,172.639
3.055,13.462,16.517
