male,female,total
2078.553,2030.874,4109.427
1845.421,1808.089,3653.51
1675.821,1654.969,3330.79
1509.087,1503.051,3012.138
1334.852,1340.892,2675.744
1107.606,1115.386,2222.992
913.174,916.564,1829.738
770.524,770.646,1541.17
655.981,658.09,1314.071
530.554,543.233,1073.787
419.777,438.69,858.467
328.458,352.84,681.298
252.005,277.27,529.275
181.397,204.536,385.933
102.248,122.474,224.722
59.377,75.764,135.141
32.248,41.245,73.493
13.229,16.728,29.957
3.62,4.313,7.933
0.623,0.682,1.305
0.064,0.064,0.128
