male,female,total
1356.48,1278.631,2635.111
1291.474,1216.604,2508.078
1258.164,1187.862,2446.026
1376.593,1293.15,2669.743
1473.764,1389.293,2863.057
1493.496,1413.815,2907.311
1512.767,1416.879,2929.646
1435.436,1286.136,2721.572
1106.638,989.06,2095.698
974.175,920.66,1894.835
840.52,833.955,1674.475
762.367,709.195,1471.562
617.475,606.342,1223.817
459.299,468.249,927.548
314.843,343.037,657.88
174.51,192.791,367.301
109.584,119.976,229.56
51.235,52.115,103.35
16.812,14.63,31.442
4.322,2.569,6.891
0.859,0.236,1.095
