male,female,total
2440.373,2347.101,4787.474
2018.657,1951.895,3970.552
1659.445,1606.445,3265.89
1339.887,1295.348,2635.235
1063.033,1023.829,2086.862
830.858,799.637,1630.495
624.978,640.93,1265.908
453.448,539.659,993.107
397.511,440.514,838.025
333.314,357.355,690.669
265.844,295.506,561.35
249.047,236.453,485.5
186.382,180.762,367.144
145.601,132.004,277.605
90.932,98.722,189.654
47.621,58.684,106.305
17.819,24.109,41.928
4.68,6.464,11.144
0.687,0.974,1.661
0.047,0.077,0.124
0.001,0.003,0.004
