male,female,total
1449.868,1383.397,2833.265
1309.452,1302.683,2612.135
1325.559,1370.496,2696.055
1181.735,1256.814,2438.549
1208.975,1399.118,2608.093
1361.349,1406.343,2767.692
1372.968,1320.411,2693.379
1309.074,1228.709,2537.783
1180.561,1120.269,2300.83
1047.925,997.909,2045.834
900.044,892.086,1792.13
757.902,763.847,1521.749
617.118,630.354,1247.472
501.384,527.783,1029.167
352.748,379.331,732.079
243.752,279.578,523.33
161.173,184.203,345.376
71.136,103.41,174.546
21.842,36.747,58.589
3.646,8.661,12.307
0.395,1.091,1.486
