male,female,total
482.783,456.823,939.606
496.283,469.158,965.441
555.265,525.496,1080.761
511.303,483.242,994.545
522.529,487.348,1009.877
562.625,513.762,1076.387
729.163,666.993,1396.156
613.306,576.438,1189.744
773.368,750.129,1523.497
762.811,740.16,1502.971
761.724,764.424,1526.148
505.639,537.371,1043.01
596.075,693.885,1289.96
548.023,697.965,1245.988
385.519,541.939,927.458
232.234,370.577,602.811
183.53,353.46,536.99
93.316,181.296,274.612
31.959,61.734,93.693
5.97,10.895,16.865
0.487,0.675,1.162
