male,female,total
4762.826,4508.865,9271.691
4802.236,4548.68,9350.916
4186.103,3988.159,8174.262
3620.95,3460.825,7081.775
3373.933,3240.763,6614.696
4575.841,4417.248,8993.089
6300.711,6243.12,12543.831
5911.074,6013.65,11924.724
5127.944,5476.691,10604.635
4674.805,5095.877,9770.682
3928.987,4550.664,8479.651
4660.894,5757.121,10418.015
4225.282,5848.341,10073.623
3255.893,5171.853,8427.746
1922.538,3467.843,5390.381
937.202,2222.135,3159.337
920.439,2565.34,3485.779
318.953,1070.686,1389.639
121.86,546.478,668.338
11.041,91.202,102.243
0.787,8.62,9.407
