male,female,total
3215.817,3123.261,6339.078
2934.394,2855.334,5789.728
2696.428,2626.496,5322.924
2428.941,2371.792,4800.733
2101.084,2058.304,4159.388
1747.912,1719.858,3467.77
1393.965,1405.37,2799.335
1172.941,1230.969,2403.91
977.606,1049.282,2026.888
826.525,873.906,1700.431
696.757,727.799,1424.556
547.161,581.234,1128.395
419.497,455.559,875.056
313.239,347.665,660.904
213.087,242.043,455.13
126.992,150.929,277.921
63.403,79.47,142.873
23.989,31.973,55.962
6.354,8.937,15.291
1.093,1.621,2.714
0.11,0.172,0.282
