male,female,total
523.999,487.138,1011.137
540.94,500.809,1041.749
506.747,469.056,975.803
632.322,580.686,1213.008
781.583,720.696,1502.279
833.607,784.468,1618.075
825.166,796.459,1621.625
964.222,962.739,1926.961
1005.619,1026.833,2032.452
869.277,886.114,1755.391
892.481,914.157,1806.638
900.189,952.391,1852.58
820.905,863.471,1684.376
667.281,749.357,1416.638
434.532,468.598,903.13
255.257,330.413,585.67
184.145,254.04,438.185
124.436,147.58,272.016
55.474,66.579,122.053
14.501,18.316,32.817
1.63,2.562,4.192
