male,female,total
4924.67,4813.932,9738.602
4361.607,4262.107,8623.714
3869.194,3785.386,7654.58
3242.031,3192.431,6434.462
2640.504,2622.051,5262.555
2294.68,2289.014,4583.694
1946.604,1956.286,3902.89
1624.465,1634.573,3259.038
1339.311,1345.482,2684.793
1063.236,1072.698,2135.934
818.935,841.848,1660.783
611.016,654.836,1265.852
444.732,503.457,948.189
304.962,369.649,674.611
200.387,271.826,472.213
106.873,162.15,269.023
44.498,77.358,121.856
11.856,24.226,36.082
1.48,3.608,5.088
0.065,0.182,0.247
0.002,0.005,0.007
