male,female,total
1850.417,1745.635,3596.052
1976.67,1867.11,3843.78
2117.236,1996.569,4113.805
2244.846,2133.66,4378.506
2449.911,2357.993,4807.904
2427.195,2395.209,4822.404
2231.722,2234.972,4466.694
2361.773,2401.26,4763.033
2580.352,2728.488,5308.84
2680.302,2925.115,5605.417
2658.634,2940.319,5598.953
2405.809,2676.632,5082.441
2039.042,2328.611,4367.653
1493.033,1763.67,3256.703
1012.908,1269.43,2282.338
682.768,901.462,1584.23
437.181,633.731,1070.912
214.395,349.288,563.683
81.178,144.02,225.198
17.978,34.688,52.666
2.71,6.056,8.766
