male,female,total
10055.063,9621.269,19676.332
10246.393,9798.759,20045.152
10777.513,10311.974,21089.487
10834.321,10408.587,21242.908
11322.732,10936.013,22258.745
12144.455,11690.875,23835.33
11702.514,11349.965,23052.479
10858.871,10756.92,21615.791
10118.582,10176.017,20294.599
9969.099,10084.699,20053.798
10319.535,10258.272,20577.807
10702.065,10840.205,21542.27
10049.886,10619.257,20669.143
8465.274,9353.753,17819.027
6645.519,7709.344,14354.863
4326.986,5400.748,9727.734
2805.623,3655.579,6461.202
1538.659,2372.445,3911.104
703.131,1348.005,2051.136
179.003,447.633,626.636
20.792,76.312,97.104
