male,female,total
1202.873,1160.536,2363.409
1394.843,1336.347,2731.19
1359.749,1298.047,2657.796
1275.233,1225.539,2500.772
1054.724,1046.904,2101.628
1003.451,1025.26,2028.711
1008.211,1056.113,2064.324
952.682,1010.915,1963.597
903.88,963.84,1867.72
822.05,875.204,1697.254
772.827,827.004,1599.831
677.22,737.932,1415.152
557.009,620.432,1177.441
403.603,461.511,865.114
273.791,329.79,603.581
168.24,218.039,386.279
90.992,135.573,226.565
43.393,75.357,118.75
15.371,33.705,49.076
3.999,10.876,14.875
0.791,2.087,2.878
