male,female,total
1489.489,1456.965,2946.454
1370.881,1346.207,2717.088
1222.79,1205.808,2428.598
1062.327,1059.256,2121.583
866.795,880.144,1746.939
703.692,729.752,1433.444
581.647,611.828,1193.475
484.587,507.132,991.719
397.443,410.788,808.231
297.666,307.992,605.658
210.398,223.199,433.597
154.799,172.863,327.662
107.083,130.471,237.554
70.382,95.899,166.281
45.2,67.563,112.763
24.257,42.945,67.202
10.375,22.541,32.916
2.805,8.058,10.863
0.37,1.433,1.803
0.019,0.102,0.121
0.001,0.004,0.005
